保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-5.019999999999999e-08,-0.00011397069883400945
-4.9999999997329707e-08,-0.00011760814783201567
-4.979999999465942e-08,-9.659177584353529e-05
-4.9599999991989134e-08,-6.91088278585994e-05
-4.939999998931885e-08,-5.0921582868568294e-05
-4.919999998664856e-08,-2.020534688540465e-05
-4.8999999983978275e-08,1.3744177095986743e-05
-4.879999998130799e-08,3.2739744085574785e-05
-4.85999999786377e-08,7.275168306364321e-05
-4.8399999975967415e-08,0.00010387208004658532
-4.819999997329713e-08,0.00013580079902908437
-4.799999997062684e-08,0.0001628795860142418
-4.7799999967956556e-08,0.00018834172900028534
-4.759999996528627e-08,0.00022997031197746765
-4.7399999962615983e-08,0.00022714118497901836
-4.71999999599457e-08,0.000257857420962182
-4.699999995727541e-08,0.0002784696319508839
-4.6799999954605124e-08,0.0002748321829528777
-4.659999995193484e-08,0.0002800862759499978
-4.639999994926455e-08,0.00029140278394379493
-4.6199999946594265e-08,0.0002889778179451241
-4.599999994392398e-08,0.0002849362079473394
-4.579999994125369e-08,0.00027564050495243464
-4.5599999938583406e-08,0.0002800862759499978
-4.539999993591312e-08,0.0002683656069564222
-4.519999993324283e-08,0.0002332035999756954
-4.499999993057255e-08,0.00020652897399031644
-4.479999992790226e-08,0.00020531649099098104
-4.4599999925231974e-08,0.00017015448401025424
-4.439999992256169e-08,0.00013701328202841978
-4.41999999198914e-08,9.417221605190207e-05
-4.3999999917221115e-08,7.234752206386474e-05
-4.379999991455083e-08,4.16312860807011e-05
-4.359999991188054e-08,-7.676355892272113e-06
-4.3399999909210256e-08,-2.101366888496159e-05
-4.319999990653997e-08,-6.951298885837787e-05
-4.299999990386968e-08,-9.740009784309223e-05
-4.2799999901199396e-08,-0.0001382203588207176
-4.259999989852911e-08,-0.0001616616968078688
-4.2399999895858824e-08,-0.00018954880579258315
-4.219999989318854e-08,-0.0002267316177722023
-4.199999989051825e-08,-0.00025987281975403675
-4.1799999887847964e-08,-0.0002812933527422956
-4.159999988517768e-08,-0.00030796797872767456
-4.139999988250739e-08,-0.00033706757071172433
-4.1199999879837105e-08,-0.00036131723069843247
-4.099999987716682e-08,-0.00037829199268912816
-4.079999987449653e-08,-0.000406583262673621
-4.0599999871826246e-08,-0.00041507064366896884
-4.039999986915596e-08,-0.0004328537276592215
-4.0199999866485673e-08,-0.0004575075486457081
-3.999999986381539e-08,-0.0004732698276370684
-3.97999998611451e-08,-0.0004680157346399483
-3.9599999858474814e-08,-0.00048135304763263775
-3.939999985580453e-08,-0.0004611449976437143
-3.919999985313424e-08,-0.00045023265064969564
-3.8999999850463955e-08,-0.00042921627866121526
-3.879999984779367e-08,-0.0003762711876902358
-3.859999984512338e-08,-0.0003463632737066291
-3.8399999842453096e-08,-0.00029260986073609274
-3.819999983978281e-08,-0.00022834826177131617
-3.799999983711252e-08,-0.00014307029081805922
-3.7799999834442237e-08,-5.698399786524533e-05
-3.759999983177195e-08,2.1827397091556122e-05
-3.7399999829101664e-08,0.00011033865604304083
-3.719999982643138e-08,0.0002057206519907595
-3.699999982376109e-08,0.0003124191559322753
-3.6799999821090805e-08,0.00039688880488597533
-3.659999981842052e-08,0.0004716585898449921
-3.639999981575023e-08,0.000570678034790717
-3.6199999813079945e-08,0.0006507019127468538
-3.599999981040966e-08,0.0007380006886990031
-3.579999980773937e-08,0.0007970081946666596
-3.5599999805069086e-08,0.0008515699296367529
-3.53999998023988e-08,0.0009008775716097261
-3.5199999799728514e-08,0.0009534185015809271
-3.499999979705823e-08,0.0009893888305612109
-3.479999979438794e-08,0.0010289966085395008
-3.4599999791717654e-08,0.0010738584795149109
-3.439999978904737e-08,0.0010993206225009544
-3.419999978637708e-08,0.001130845180483675
-3.3999999783706795e-08,0.0011680279924632941
-3.379999978103651e-08,0.0011874277204526607
-3.359999977836622e-08,0.0011906610084508884
-3.3399999775695936e-08,0.0011967234234475654
-3.319999977302565e-08,0.001182577788455319
-3.299999977035536e-08,0.0011850027544539898
-3.279999976768508e-08,0.0011716654414613004
-3.259999976501479e-08,0.0011603489334675032
-3.2399999762344504e-08,0.0011466074594750353
-3.219999975967422e-08,0.001098916461501176
-3.199999975700393e-08,0.0010637544545204491
-3.1799999754333645e-08,0.0010249549985417161
-3.159999975166336e-08,0.0009910054745603247
-3.139999974899307e-08,0.0009105774356044094
-3.1199999746322786e-08,0.0008717779796256764
-3.09999997436525e-08,0.0007877124916717548
-3.079999974098221e-08,0.0007072844527158395
-3.0599999738311926e-08,0.0006248356087610318
-3.039999973564164e-08,0.0005294536128133132
-3.0199999732971354e-08,0.000433667455865816
-2.999999973030107e-08,0.00032211901992695857
-2.979999972763078e-08,0.00022229125298167673
-2.9599999724960495e-08,0.00010265959704724992
