保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-1.2499999999999998e-08,8.094380063994322e-06
-1.2399999998664855e-08,3.601999128477473e-05
-1.2299999997329711e-08,3.642471028797445e-05
-1.2199999995994568e-08,1.9426512153586373e-05
-1.2099999994659425e-08,4.694740437116707e-05
-1.1999999993324282e-08,-1.1736851092791767e-05
-1.1899999991989139e-08,2.4687859195182682e-05
-1.1799999990653995e-08,3.844830530397303e-05
-1.1699999989318852e-08,2.8330330223980127e-05
-1.1599999987983709e-08,4.451909035196877e-05
-1.1499999986648566e-08,2.792561122078041e-05
-1.1399999985313423e-08,2.0235950159985805e-06
-1.129999998397828e-08,-9.713256076793186e-06
-1.1199999982643136e-08,-2.1450107169584953e-05
-1.1099999981307993e-08,1.6188760127988644e-05
-1.099999997997285e-08,-3.237752025597729e-05
-1.0899999978637707e-08,-3.318695826237672e-05
-1.0799999977302563e-08,-2.2259545175984385e-05
-1.069999997596742e-08,-2.8330330223980127e-06
-1.0599999974632277e-08,-2.5497297201582114e-05
-1.0499999973297134e-08,-1.983123115678609e-05
-1.039999997196199e-08,-2.792561122078041e-05
-1.0299999970626847e-08,-1.8212355143987224e-05
-1.0199999969291704e-08,-1.9426512153586373e-05
-1.0099999967956561e-08,-3.4805834275175584e-05
-9.999999966621418e-09,-1.2141570095991483e-05
-9.899999965286275e-09,2.3473702185583534e-05
-9.799999963951131e-09,3.237752025597729e-06
-9.699999962615988e-09,-8.499099067194038e-06
-9.599999961280845e-09,3.642471028797445e-06
-9.499999959945702e-09,3.3591677265576436e-05
-9.399999958610559e-09,4.047190031997161e-07
-9.299999957275416e-09,-2.8330330223980127e-06
-9.199999955940272e-09,-8.903818070393754e-06
-9.099999954605129e-09,3.2782239259177004e-05
-8.999999953269986e-09,3.6829429291174165e-05
-8.899999951934843e-09,1.4165165111990063e-05
-8.7999999505997e-09,1.3355727105590631e-05
-8.699999949264556e-09,9.713256076793186e-06
-8.599999947929413e-09,-1.133213208959205e-05
-8.49999994659427e-09,2.2259545175984385e-05
-8.399999945259127e-09,-8.094380063994322e-06
-8.299999943923984e-09,1.5379322121589212e-05
-8.19999994258884e-09,5.261347041596309e-06
-8.099999941253697e-09,4.8161561380766216e-05
-7.999999939918554e-09,3.2782239259177004e-05
-7.89999993858341e-09,5.423234642876196e-05
-7.799999937248268e-09,4.492380935516849e-05
-7.699999935913124e-09,5.6660660447960254e-05
-7.599999934577981e-09,7.811076761754521e-05
-7.499999933242838e-09,6.637391652475344e-05
-7.399999931907695e-09,3.399639626877615e-05
-7.299999930572552e-09,4.128133832637104e-05
-7.199999929237408e-09,4.2090776332770474e-05
-7.099999927902265e-09,7.649189160474634e-05
-6.999999926567122e-09,4.451909035196877e-05
-6.899999925231979e-09,3.966246231357218e-05
-6.799999923896836e-09,2.8735049227179843e-05
-6.699999922561692e-09,4.249549533597019e-05
-6.599999921226549e-09,3.197280125277757e-05
-6.499999919891406e-09,3.6829429291174165e-05
-6.399999918556263e-09,2.0235950159985805e-05
-6.29999991722112e-09,8.499099067194038e-06
-6.1999999158859764e-09,-9.713256076793186e-06
-6.099999914550833e-09,2.913976823037956e-05
-5.99999991321569e-09,0.0
-5.899999911880547e-09,8.094380063994322e-06
-5.799999910545404e-09,-1.7402917137587792e-05
-5.6999999092102605e-09,-2.8330330223980127e-06
-5.599999907875117e-09,3.1568082249577856e-05
-5.499999906539974e-09,2.5092578198382398e-05
-5.399999905204831e-09,-2.4283140191982966e-06
-5.299999903869688e-09,2.9544487233579275e-05
-5.1999999025345445e-09,3.237752025597729e-06
-5.099999901199401e-09,8.903818070393754e-06
-4.999999899864258e-09,2.064066916318552e-05
-4.899999898529115e-09,1.983123115678609e-05
-4.799999897193972e-09,8.094380063994322e-07
-4.6999998958588285e-09,-2.4283140191982966e-06
-4.599999894523685e-09,-1.6188760127988644e-05
-4.499999893188542e-09,1.2141570095991483e-05
-4.399999891853399e-09,1.2141570095991483e-06
-4.299999890518256e-09,2.26642641791841e-05
-4.1999998891831125e-09,1.5379322121589212e-05
-4.099999887847969e-09,-8.499099067194038e-06
-3.999999886512826e-09,1.5379322121589212e-05
-3.899999885177683e-09,3.642471028797445e-05
-3.79999988384254e-09,-2.8735049227179843e-05
-3.6999998825073965e-09,7.689661060794606e-06
-3.5999998811722533e-09,-1.456988411518978e-05
-3.49999987983711e-09,5.261347041596309e-06
-3.399999878501967e-09,-5.666066044796025e-06
-3.2999998771668237e-09,1.5379322121589212e-05
-3.1999998758316806e-09,2.1450107169584953e-05
-3.0999998744965374e-09,-1.1736851092791767e-05
-2.999999873161394e-09,1.0117975079992902e-05
-2.899999871826251e-09,8.094380063994322e-06
-2.7999998704911078e-09,2.4687859195182682e-05
-2.6999998691559646e-09,1.0117975079992902e-05
-2.5999998678208214e-09,-2.7520892217580695e-05
-2.499999866485678e-09,-6.515975951515429e-05
-2.399999865150535e-09,-0.00011534491591191909
-2.2999998638153918e-09,-0.0001558168162318907
-2.1999998624802486e-09,-0.0002310945508270379
-2.0999998611451054e-09,-0.00025740128603501944
-1.999999859809962e-09,-0.0003088005994413834
-1.899999858474819e-09,-0.00029544487233579275
-1.7999998571396758e-09,-0.00030070621937738906
-1.6999998558045326e-09,-0.0002913976823037956
-1.5999998544693894e-09,-0.0003347026156461652
-1.4999998531342462e-09,-0.00026792398011821206
-1.399999851799103e-09,-0.0002938259963229939
-1.2999998504639598e-09,-0.00026549566609901376
-1.1999998491288166e-09,-0.00022947567481423903
-1.0999998477936734e-09,-0.00022016713774064556
-9.999998464585302e-10,-0.0001885990554910677
-8.99999845123387e-10,-0.00018455186545907054
-7.999998437882438e-10,-0.00016957726234068105
-6.999998424531007e-10,-0.00015662625423829013
-5.999998411179575e-10,-0.00012708176700471085
-4.999998397828143e-10,-0.0001278912050111103
-3.9999983844767106e-10,-0.00013274783304950688
-2.9999983711252787e-10,-9.146649472313584e-05
-1.9999983577738467e-10,-8.863346170073783e-05
-9.999983444224148e-11,-7.082582555995032e-05
1.6689290172023595e-16,-7.163526356634975e-05
1.0000016822804492e-10,-6.556447851835401e-05
2.000001695631881e-10,-8.78240236943384e-05
3.000001708983313e-10,-3.237752025597729e-05
4.000001722334745e-10,-3.844830530397303e-05
5.000001735686177e-10,-3.0758644243178423e-05
6.000001749037609e-10,-7.04211065567506e-05
7.000001762389041e-10,-5.301818941916281e-05
8.000001775740473e-10,-7.446829658874776e-05
9.000001789091905e-10,-4.7352123374366784e-05
1.0000001802443337e-09,-4.4114371348769055e-05
1.1000001815794769e-09,-2.994920623677899e-05
1.20000018291462e-09,-3.0353925239978707e-05
1.3000001842497633e-09,-1.780763614078751e-05
1.4000001855849065e-09,-2.4283140191982966e-06
1.5000001869200497e-09,-9.713256076793186e-06
1.6000001882551929e-09,-2.4283140191982966e-05
1.700000189590336e-09,-6.880223054395174e-06
1.8000001909254792e-09,-2.9544487233579275e-05
1.9000001922606224e-09,1.6188760127988644e-06
2.0000001935957656e-09,-1.456988411518978e-05
2.100000194930909e-09,-3.0353925239978707e-05
2.200000196266052e-09,-1.0117975079992902e-05
2.3000001976011952e-09,-2.994920623677899e-05
2.4000001989363384e-09,-5.0185156396764796e-05
2.5000002002714816e-09,-3.6829429291174165e-05
2.600000201606625e-09,-1.9426512153586373e-05
2.700000202941768e-09,-1.9426512153586373e-05
2.8000002042769112e-09,-1.861707414718694e-05
2.9000002056120544e-09,-2.792561122078041e-05
3.0000002069471976e-09,-2.0235950159985805e-05
3.100000208282341e-09,-1.4974603118389496e-05
3.200000209617484e-09,-2.4283140191982966e-06
3.300000210952627e-09,4.451909035196877e-06
3.4000002122877704e-09,2.0235950159985805e-06
3.5000002136229136e-09,3.642471028797445e-05
3.6000002149580568e-09,3.1568082249577856e-05
3.7000002162932e-09,2.6306735207981546e-05
3.800000217628343e-09,2.0235950159985805e-05
3.900000218963486e-09,2.792561122078041e-05
4.0000002202986296e-09,1.9426512153586373e-05
4.100000221633773e-09,-1.6188760127988644e-05
4.200000222968916e-09,-1.0117975079992902e-05
4.300000224304059e-09,-4.047190031997161e-06
4.400000225639202e-09,-2.1045388166385237e-05
4.5000002269743455e-09,-4.8161561380766216e-05
4.600000228309489e-09,-4.168605732957076e-05
4.700000229644632e-09,-2.3068983182383818e-05
4.800000230979775e-09,-5.301818941916281e-05
4.900000232314918e-09,-2.26642641791841e-05
5.0000002336500615e-09,-2.064066916318552e-05
5.100000234985205e-09,-2.5092578198382398e-05
5.200000236320348e-09,-5.706537945115997e-05
5.300000237655491e-09,-1.1736851092791767e-05
5.400000238990634e-09,-4.9375718390365364e-05
5.5000002403257775e-09,-3.318695826237672e-05
5.600000241660921e-09,-6.151728848635685e-05
5.700000242996064e-09,-2.2259545175984385e-05
5.800000244331207e-09,-4.7352123374366784e-05
5.90000024566635e-09,-2.3473702185583534e-05
6.0000002470014935e-09,-4.978043739356508e-05
6.100000248336637e-09,-1.6998198134388076e-05
6.20000024967178e-09,-2.064066916318552e-05
6.300000251006923e-09,-1.8212355143987224e-05
6.400000252342066e-09,-1.0927413086392335e-05
6.5000002536772095e-09,-6.880223054395174e-06
6.600000255012353e-09,-7.28494205759489e-06
6.700000256347496e-09,1.7402917137587792e-05
6.800000257682639e-09,-7.28494205759489e-06
6.900000259017782e-09,7.689661060794606e-06
7.0000002603529254e-09,2.26642641791841e-05
7.100000261688069e-09,2.1450107169584953e-05
7.200000263023212e-09,-5.666066044796025e-06
7.300000264358355e-09,3.197280125277757e-05
7.400000265693498e-09,1.2141570095991483e-05
7.500000267028641e-09,1.4974603118389496e-05
7.600000268363785e-09,1.3760446108790347e-05
