保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-1.2499999999999998e-08,0.00012141570095991483
-1.2399999998664855e-08,0.00011898738694071653
-1.2299999997329711e-08,9.834671777753101e-05
-1.2199999995994568e-08,8.29673956559418e-05
-1.2099999994659425e-08,4.9375718390365364e-05
-1.1999999993324282e-08,8.29673956559418e-05
-1.1899999991989139e-08,7.689661060794606e-05
-1.1799999990653995e-08,5.382762742556224e-05
-1.1699999989318852e-08,3.3591677265576436e-05
-1.1599999987983709e-08,3.4805834275175584e-05
-1.1499999986648566e-08,2.913976823037956e-05
-1.1399999985313423e-08,4.492380935516849e-05
-1.129999998397828e-08,2.185482617278467e-05
-1.1199999982643136e-08,-1.6188760127988644e-06
-1.1099999981307993e-08,-2.8330330223980127e-06
-1.099999997997285e-08,2.0235950159985805e-06
-1.0899999978637707e-08,-2.994920623677899e-05
-1.0799999977302563e-08,-6.475504051195458e-06
-1.069999997596742e-08,2.6306735207981546e-05
-1.0599999974632277e-08,4.492380935516849e-05
-1.0499999973297134e-08,1.5379322121589212e-05
-1.039999997196199e-08,2.387842118878325e-05
-1.0299999970626847e-08,1.983123115678609e-05
-1.0199999969291704e-08,5.78748174575594e-05
-1.0099999967956561e-08,3.116336324637814e-05
-9.999999966621418e-09,4.6137966364767635e-05
-9.899999965286275e-09,3.1568082249577856e-05
-9.799999963951131e-09,9.79419987743313e-05
-9.699999962615988e-09,5.301818941916281e-05
-9.599999961280845e-09,6.111256948315713e-05
-9.499999959945702e-09,8.175323864634265e-05
-9.399999958610559e-09,7.001638755355089e-05
-9.299999957275416e-09,5.3422908422362525e-05
-9.199999955940272e-09,5.78748174575594e-05
-9.099999954605129e-09,6.394560250555514e-05
-8.999999953269986e-09,6.2731445495956e-05
-8.899999951934843e-09,4.451909035196877e-05
-8.7999999505997e-09,4.8161561380766216e-05
-8.699999949264556e-09,4.451909035196877e-05
-8.599999947929413e-09,7.446829658874776e-05
-8.49999994659427e-09,8.53957096751401e-05
-8.399999945259127e-09,5.706537945115997e-05
-8.299999943923984e-09,4.0876619323171326e-05
-8.19999994258884e-09,5.220875141276338e-05
-8.099999941253697e-09,6.111256948315713e-05
-7.999999939918554e-09,6.758807353435259e-05
-7.89999993858341e-09,8.822874269753811e-05
-7.799999937248268e-09,5.6660660447960254e-05
-7.699999935913124e-09,4.451909035196877e-05
-7.599999934577981e-09,2.26642641791841e-05
-7.499999933242838e-09,4.2900214339169906e-05
-7.399999931907695e-09,4.370965234556934e-05
-7.299999930572552e-09,4.128133832637104e-05
-7.199999929237408e-09,2.26642641791841e-05
-7.099999927902265e-09,3.561527228157502e-05
-6.999999926567122e-09,8.863346170073783e-05
-6.899999925231979e-09,6.313616449915571e-05
-6.799999923896836e-09,6.03031314767577e-05
-6.699999922561692e-09,3.0758644243178423e-05
-6.599999921226549e-09,6.0707850479957415e-05
-6.499999919891406e-09,6.192200748955656e-05
-6.399999918556263e-09,3.116336324637814e-05
-6.29999991722112e-09,4.573324736156792e-05
-6.1999999158859764e-09,3.440111527197587e-05
-6.099999914550833e-09,4.8161561380766216e-05
-5.99999991321569e-09,5.382762742556224e-05
-5.899999911880547e-09,2.5497297201582114e-05
-5.799999910545404e-09,2.913976823037956e-05
-5.6999999092102605e-09,4.694740437116707e-05
-5.599999907875117e-09,4.573324736156792e-05
-5.499999906539974e-09,1.0522694083192619e-05
-5.399999905204831e-09,8.134851964314294e-05
-5.299999903869688e-09,2.064066916318552e-05
-5.1999999025345445e-09,5.6660660447960254e-05
-5.099999901199401e-09,4.492380935516849e-05
-4.999999899864258e-09,6.596919752155372e-05
-4.899999898529115e-09,6.556447851835401e-05
-4.799999897193972e-09,5.1399313406363945e-05
-4.6999998958588285e-09,5.058987539996451e-05
-4.599999894523685e-09,3.3591677265576436e-05
-4.499999893188542e-09,4.168605732957076e-05
-4.399999891853399e-09,5.6660660447960254e-05
-4.299999890518256e-09,5.585122244156082e-05
-4.1999998891831125e-09,6.637391652475344e-05
-4.099999887847969e-09,7.770604861434549e-05
-3.999999886512826e-09,4.0876619323171326e-05
-3.899999885177683e-09,8.013436263354379e-05
-3.79999988384254e-09,6.03031314767577e-05
-3.6999998825073965e-09,8.418155266554095e-05
-3.5999998811722533e-09,7.52777345951472e-05
-3.49999987983711e-09,7.325413957914861e-05
-3.399999878501967e-09,7.203998256954947e-05
-3.2999998771668237e-09,9.227593272953527e-05
-3.1999998758316806e-09,4.897099938716565e-05
-3.0999998744965374e-09,5.301818941916281e-05
-2.999999873161394e-09,6.435032150875486e-05
-2.899999871826251e-09,3.3591677265576436e-05
-2.7999998704911078e-09,2.064066916318552e-05
-2.6999998691559646e-09,-2.0235950159985805e-05
-2.5999998678208214e-09,-4.330493334236962e-05
-2.499999866485678e-09,-9.915615578393044e-05
-2.399999865150535e-09,-0.0001732197333694785
-2.2999998638153918e-09,-0.0002634720710830152
-2.1999998624802486e-09,-0.00033591677265576436
-2.0999998611451054e-09,-0.00042333607734690304
-1.999999859809962e-09,-0.00044883337454848515
-1.899999858474819e-09,-0.0004828297708172613
-1.7999998571396758e-09,-0.00045652303560927976
-1.6999998558045326e-09,-0.00046137966364767635
-1.5999998544693894e-09,-0.00040390956519331667
-1.4999998531342462e-09,-0.00039621990413252206
-1.399999851799103e-09,-0.000346439466738957
-1.2999998504639598e-09,-0.00031527610349257884
-1.1999998491288166e-09,-0.00027561364117900666
-1.0999998477936734e-09,-0.0002586154430446186
-9.999998464585302e-10,-0.00020519253462225606
-8.99999845123387e-10,-0.0001558168162318907
-7.999998437882438e-10,-0.00016188760127988644
-6.999998424531007e-10,-0.00015379322121589212
-5.999998411179575e-10,-9.025233771353669e-05
-4.999998397828143e-10,-8.580042867833981e-05
-3.9999983844767106e-10,-6.435032150875486e-05
-2.9999983711252787e-10,-6.758807353435259e-05
-1.9999983577738467e-10,-5.827953646075912e-05
-9.999983444224148e-11,-2.185482617278467e-05
1.6689290172023595e-16,2.0235950159985805e-05
1.0000016822804492e-10,1.5379322121589212e-05
2.000001695631881e-10,4.451909035196877e-06
3.000001708983313e-10,3.318695826237672e-05
4.000001722334745e-10,-1.6998198134388076e-05
5.000001735686177e-10,2.4283140191982966e-05
6.000001749037609e-10,4.77568423775665e-05
7.000001762389041e-10,2.5497297201582114e-05
8.000001775740473e-10,3.0758644243178423e-05
9.000001789091905e-10,2.3473702185583534e-05
1.0000001802443337e-09,5.625594144476054e-05
1.1000001815794769e-09,3.642471028797445e-06
1.20000018291462e-09,1.3355727105590631e-05
1.3000001842497633e-09,4.128133832637104e-05
1.4000001855849065e-09,3.966246231357218e-05
1.5000001869200497e-09,2.3473702185583534e-05
1.6000001882551929e-09,4.4114371348769055e-05
1.700000189590336e-09,3.197280125277757e-05
1.8000001909254792e-09,4.2090776332770474e-05
1.9000001922606224e-09,4.7352123374366784e-05
2.0000001935957656e-09,4.77568423775665e-05
2.100000194930909e-09,8.418155266554095e-05
2.200000196266052e-09,9.06570567167364e-05
2.3000001976011952e-09,6.0707850479957415e-05
2.4000001989363384e-09,5.827953646075912e-05
2.5000002002714816e-09,7.123054456315003e-05
2.600000201606625e-09,4.249549533597019e-05
2.700000202941768e-09,3.76388672975736e-05
2.8000002042769112e-09,4.249549533597019e-05
2.9000002056120544e-09,1.983123115678609e-05
3.0000002069471976e-09,5.7470098454359686e-05
3.100000208282341e-09,1.4165165111990063e-05
3.200000209617484e-09,5.7470098454359686e-05
3.300000210952627e-09,3.844830530397303e-05
3.4000002122877704e-09,2.1045388166385237e-05
3.5000002136229136e-09,3.2782239259177004e-05
3.6000002149580568e-09,4.2900214339169906e-05
3.7000002162932e-09,3.966246231357218e-05
3.800000217628343e-09,6.2731445495956e-05
3.900000218963486e-09,4.451909035196877e-05
4.0000002202986296e-09,1.861707414718694e-05
