保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-7.5e-09,-0.00014582989558675763
-7.399999998664856e-09,-0.0002522783247513871
-7.299999997329713e-09,-0.0003413079200527136
-7.19999999599457e-09,-0.00036324274788057664
-7.0999999946594265e-09,-0.0004322729413388515
-6.999999993324283e-09,-0.0005064642707566236
-6.89999999198914e-09,-0.0005677527602756527
-6.799999990653997e-09,-0.0006077515639617559
-6.699999989318854e-09,-0.0006606532075466021
-6.5999999879837106e-09,-0.0007329091109795627
-6.499999986648567e-09,-0.000738715388933997
-6.399999985313424e-09,-0.0007916170325188432
-6.299999983978281e-09,-0.0007987135944631518
-6.199999982643138e-09,-0.0007980684524682147
-6.0999999813079946e-09,-0.0007922621745137803
-5.999999979972851e-09,-0.0007658113527213573
-5.899999978637708e-09,-0.0007967781684783404
-5.799999977302565e-09,-0.0008567763740074952
-5.699999975967422e-09,-0.0008490346700682494
-5.599999974632279e-09,-0.0009270968514556444
-5.499999973297135e-09,-0.0009103231595872785
-5.399999971961992e-09,-0.0008922591837290383
-5.299999970626849e-09,-0.0009187100055214614
-5.199999969291706e-09,-0.000864518077946741
-5.099999967956563e-09,-0.0008754854918606725
-4.9999999666214194e-09,-0.0009374191233746387
-4.899999965286276e-09,-0.000938709407364513
-4.799999963951133e-09,-0.0009709665071113704
-4.69999996261599e-09,-0.0009916110509493592
-4.599999961280847e-09,-0.0010393515585747082
-4.4999999599457034e-09,-0.0011574125436482063
-4.39999995861056e-09,-0.0012161204651874868
-4.299999957275417e-09,-0.0013006340665242533
-4.199999955940274e-09,-0.0014109533476585057
-4.099999954605131e-09,-0.0014574035712939803
-3.9999999532699875e-09,-0.001512240640863638
-3.899999951934844e-09,-0.0015315949007117524
-3.799999950599701e-09,-0.0014793383991218434
-3.699999949264558e-09,-0.0015677228524282327
-3.5999999479294147e-09,-0.001538046320661124
-3.4999999465942715e-09,-0.001699331819395411
-3.3999999452591283e-09,-0.002216735699335004
-3.299999943923985e-09,-0.003450247193654832
-3.199999942588842e-09,-0.0061443601645123636
-3.0999999412536987e-09,-0.010606162201497682
-2.9999999399185555e-09,-0.016798235068904432
-2.8999999385834123e-09,-0.023381263985243095
-2.799999937248269e-09,-0.028371437316081938
-2.699999935913126e-09,-0.0300223556811261
-2.5999999345779827e-09,-0.027811454064476493
-2.4999999332428395e-09,-0.022442582382609544
-2.3999999319076963e-09,-0.015929228801724094
-2.299999930572553e-09,-0.009646190913031205
-2.19999992923741e-09,-0.005150196350314218
-2.0999999279022667e-09,-0.002373505204104731
-1.9999999265671235e-09,-0.0010219327247114052
-1.8999999252319804e-09,-0.0006671046274959735
-1.7999999238968372e-09,-0.0008780660598404211
-1.699999922561694e-09,-0.0013967602237698884
-1.5999999212265508e-09,-0.0018238442244182806
-1.4999999198914076e-09,-0.0020096451189601794
-1.3999999185562644e-09,-0.0019264218016132872
-1.2999999172211212e-09,-0.001825779650403092
-1.199999915885978e-09,-0.0015477234505851811
-1.0999999145508348e-09,-0.001469016127202849
-9.999999132156916e-10,-0.0013309557402862993
-8.999999118805484e-10,-0.001195475921349498
-7.999999105454052e-10,-0.0010445126945342054
-6.99999909210262e-10,-0.0009225808574910843
-5.999999078751188e-10,-0.0009793533530455534
-4.999999065399756e-10,-0.0010619315283975084
-3.999999052048324e-10,-0.0011696702415520122
-2.999999038696892e-10,-0.0013335363082660479
-1.9999990253454602e-10,-0.0013361168762457964
-9.999990119940283e-11,-0.0013006340665242533
1.0013574037039708e-16,-0.0011374131418051547
1.0000010147088357e-10,-0.0010322549966303995
2.0000010280602676e-10,-0.0007419410989086828
3.0000010414116996e-10,-0.0005922681560832643
4.0000010547631315e-10,-0.0004303375153540401
5.000001068114564e-10,-0.0003677587418451367
6.000001081465995e-10,-0.00033937249406790215
7.000001094817427e-10,-0.00024324633682226704
8.000001108168859e-10,-0.0002638908806602558
9.000001121520291e-10,-0.00024453662081214134
1.0000001134871723e-09,-0.00018324813129311224
1.1000001148223155e-09,-0.0001535715995260034
1.2000001161574587e-09,-5.228430632087111e-05
1.300000117492602e-09,-1.6801496599327947e-05
1.4000001188277451e-09,4.7067560899449745e-05
1.5000001201628883e-09,0.00017996681185650232
1.6000001214980315e-09,0.00019286965175524529
1.7000001228331747e-09,0.000291576376980629
1.800000124168318e-09,0.00038963796021107555
1.900000125503461e-09,0.00047995783950227633
2.0000001268386043e-09,0.000556729736899797
2.1000001281737475e-09,0.0006154376584390775
2.2000001295088907e-09,0.0006380176282618777
2.300000130844034e-09,0.0006618878820745522
2.400000132179177e-09,0.0005876965526567801
2.5000001335143203e-09,0.0006418884802315006
2.6000001348494635e-09,0.000704467253740404
