保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-7.5e-09,-0.001134187431830469
-7.399999998664856e-09,-0.001169025099557075
-7.299999997329713e-09,-0.0012335392990507899
-7.19999999599457e-09,-0.0012238621691267326
-7.0999999946594265e-09,-0.001264506114807773
-6.999999993324283e-09,-0.001181927939455818
-6.89999999198914e-09,-0.0012290233050862298
-6.799999990653997e-09,-0.0011857987914254409
-6.699999989318854e-09,-0.0010767697942810628
-6.5999999879837106e-09,-0.0011141880299874174
-6.499999986648567e-09,-0.001116768597967166
-6.399999985313424e-09,-0.000990320766959485
-6.299999983978281e-09,-0.0009135488695619642
-6.199999982643138e-09,-0.0008929043257239755
-6.0999999813079946e-09,-0.0008161324283264548
-5.999999979972851e-09,-0.00075161822883274
-5.899999978637708e-09,-0.0007309736849947512
-5.799999977302565e-09,-0.0006303315337845561
-5.699999975967422e-09,-0.0005916230140883272
-5.599999974632279e-09,-0.0005477533584326011
-5.499999973297135e-09,-0.0005548499203769097
-5.399999971961992e-09,-0.00048581972691863484
-5.299999970626849e-09,-0.000403886693561617
-5.199999969291706e-09,-0.00035421075995145657
-5.099999967956563e-09,-0.0003135668142704162
-4.9999999666214194e-09,-0.00018905440924754657
-4.899999965286276e-09,-0.00013099162970320322
-4.799999963951133e-09,-0.00010389566591584298
-4.69999996261599e-09,-3.48654724575681e-05
-4.599999961280847e-09,-1.6801496599327947e-05
-4.4999999599457034e-09,-1.7446638594265096e-05
-4.39999995861056e-09,3.610014698551822e-05
-4.299999957275417e-09,4.7067560899449745e-05
-4.199999955940274e-09,4.7712702894386894e-05
-4.099999954605131e-09,4.7067560899449745e-05
-3.9999999532699875e-09,7.287324069693568e-05
-3.899999951934844e-09,0.0001902890837754967
-3.799999950599701e-09,0.0002728672591274517
-3.699999949264558e-09,0.0002689964071578288
-3.5999999479294147e-09,0.00031609177278824063
-3.4999999465942715e-09,0.00028318953104644606
-3.3999999452591283e-09,-4.9703738341122516e-05
-3.299999943923985e-09,-0.0011070914680431088
-3.199999942588842e-09,-0.003359282172368694
-3.0999999412536987e-09,-0.0071875547703257325
-2.9999999399185555e-09,-0.012528040204415447
-2.8999999385834123e-09,-0.018218837741756033
-2.799999937248269e-09,-0.02262644785116663
-2.699999935913126e-09,-0.024114790433486633
-2.5999999345779827e-09,-0.022222588962335976
-2.4999999332428395e-09,-0.017778850901208898
-2.3999999319076963e-09,-0.01204547399220246
-2.299999930572553e-09,-0.006694021144198814
-2.19999992923741e-09,-0.0026612385338466993
-2.0999999279022667e-09,-0.00020776352710072388
-1.9999999265671235e-09,0.0009760720336089435
-1.8999999252319804e-09,0.001287030475168649
-1.7999999238968372e-09,0.0010844558887583844
-1.699999922561694e-09,0.0006928546978315353
-1.5999999212265508e-09,0.00033222032266166934
-1.4999999198914076e-09,0.0002277073194818513
-1.3999999185562644e-09,0.0002664158391780802
-1.2999999172211212e-09,0.0004206047759680587
-1.199999915885978e-09,0.0005631811568491685
-1.0999999145508348e-09,0.0006322113503074434
-9.999999132156916e-10,0.0007573688973252501
-8.999999118805484e-10,0.0008302699427531479
-7.999999105454052e-10,0.000891558432272177
-6.99999909210262e-10,0.0009147835440899144
-5.999999078751188e-10,0.0007715620212138674
-4.999999065399756e-10,0.0005664068668238542
-3.999999052048324e-10,0.00031222092081861774
-2.999999038696892e-10,0.0001677091139526965
-1.9999990253454602e-10,5.9325258803255565e-05
-9.999990119940283e-11,-5.74454422803683e-05
1.0013574037039708e-16,2.2552165091838106e-05
1.0000010147088357e-10,8.38406546108672e-05
2.0000010280602676e-10,0.00021932047354766837
3.0000010414116996e-10,0.00028060896306669747
4.0000010547631315e-10,0.00030835006884899485
5.000001068114564e-10,0.00030318893288949766
6.000001081465995e-10,0.0003115757788236806
7.000001094817427e-10,0.00017996681185650232
8.000001108168859e-10,9.093721655517584e-05
9.000001121520291e-10,4.126128294501541e-05
1.0000001134871723e-09,-5.938086826517974e-05
1.1000001148223155e-09,-0.0001935704032121066
1.2000001161574587e-09,-0.00020453781712603814
1.300000117492602e-09,-0.00035808161192107946
1.4000001188277451e-09,-0.0004051769775514913
1.5000001201628883e-09,-0.0005264636725996752
1.6000001214980315e-09,-0.0005542047783819726
1.7000001228331747e-09,-0.000543237364468041
1.800000124168318e-09,-0.0006380732377238019
1.900000125503461e-09,-0.0007800044766099745
2.0000001268386043e-09,-0.000816777570321392
2.1000001281737475e-09,-0.000890968899739164
2.2000001295088907e-09,-0.0009612893771873132
2.300000130844034e-09,-0.001090317776174743
2.400000132179177e-09,-0.0011322520058456575
2.5000001335143203e-09,-0.0011806376554659437
2.6000001348494635e-09,-0.0011890245014001266
