保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-1.2499999999999998e-08,-9.591840375833272e-05
-1.2399999998664855e-08,-6.637391652475344e-05
-1.2299999997329711e-08,-8.499099067194038e-05
-1.2199999995994568e-08,-2.8735049227179843e-05
-1.2099999994659425e-08,-4.047190031997161e-07
-1.1999999993324282e-08,1.8212355143987224e-05
-1.1899999991989139e-08,4.451909035196877e-06
-1.1799999990653995e-08,1.5379322121589212e-05
-1.1699999989318852e-08,4.654268536796735e-05
-1.1599999987983709e-08,5.5446503438361106e-05
-1.1499999986648566e-08,2.387842118878325e-05
-1.1399999985313423e-08,5.625594144476054e-05
-1.129999998397828e-08,8.094380063994322e-05
-1.1199999982643136e-08,7.730132961114577e-05
-1.1099999981307993e-08,4.2900214339169906e-05
-1.099999997997285e-08,4.6137966364767635e-05
-1.0899999978637707e-08,3.4805834275175584e-05
-1.0799999977302563e-08,6.111256948315713e-05
-1.069999997596742e-08,1.3760446108790347e-05
-1.0599999974632277e-08,2.5497297201582114e-05
-1.0499999973297134e-08,1.983123115678609e-05
-1.039999997196199e-08,2.5497297201582114e-05
-1.0299999970626847e-08,2.994920623677899e-05
-1.0199999969291704e-08,2.0235950159985805e-05
-1.0099999967956561e-08,4.2090776332770474e-05
-9.999999966621418e-09,4.451909035196877e-06
-9.899999965286275e-09,-2.1045388166385237e-05
-9.799999963951131e-09,1.3760446108790347e-05
-9.699999962615988e-09,2.3068983182383818e-05
-9.599999961280845e-09,2.4687859195182682e-05
-9.499999959945702e-09,-3.197280125277757e-05
-9.399999958610559e-09,-4.047190031997161e-05
-9.299999957275416e-09,-1.659347913118836e-05
-9.199999955940272e-09,-4.8161561380766216e-05
-9.099999954605129e-09,-6.596919752155372e-05
-8.999999953269986e-09,-9.510896575193328e-05
-8.899999951934843e-09,-8.984761871033697e-05
-8.7999999505997e-09,-0.00011129772587992193
-8.699999949264556e-09,-0.00013639030407830433
-8.599999947929413e-09,-0.00016633951031508332
-8.49999994659427e-09,-0.00014165165111990063
-8.399999945259127e-09,-0.00019466984053906344
-8.299999943923984e-09,-0.0002861363352621993
-8.19999994258884e-09,-0.00023757005487823335
-8.099999941253697e-09,-0.0002845174592494004
-7.999999939918554e-09,-0.000319323293524576
-7.89999993858341e-09,-0.0003723414829437388
-7.799999937248268e-09,-0.0004294068623948988
-7.699999935913124e-09,-0.00042131248233090446
-7.599999934577981e-09,-0.0005042798779868463
-7.499999933242838e-09,-0.0005447517783068179
-7.399999931907695e-09,-0.0005479895303324156
-7.299999930572552e-09,-0.0005921039016811847
