保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-2.52e-08,0.001168836314462851
-2.4999999997329714e-08,0.001157519806469054
-2.4799999994659428e-08,0.001130845180483675
-2.459999999198914e-08,0.0010855791485084865
-2.4399999989318855e-08,0.0010346548625363994
-2.419999998664857e-08,0.0009663516535738381
-2.3999999983978282e-08,0.0009077483086059601
-2.3799999981307996e-08,0.0008467199976394113
-2.359999997863771e-08,0.0007751835006786223
-2.3399999975967423e-08,0.0007080927747153964
-2.3199999973297137e-08,0.000668080835737328
-2.299999997062685e-08,0.0006078608467703361
-2.2799999967956564e-08,0.0005617864927955907
-2.2599999965286278e-08,0.000506012274826162
-2.239999996261599e-08,0.00042679671886958204
-2.2199999959945705e-08,0.0003633434419043624
-2.199999995727542e-08,0.0002889778179451241
-2.1799999954605132e-08,0.00020531649099098104
-2.1599999951934846e-08,0.00012569677403462265
-2.139999994926456e-08,6.951839506541546e-05
-2.1199999946594273e-08,-2.4222628951520164e-06
-2.0999999943923986e-08,-6.183392986258696e-05
-2.07999999412537e-08,-0.00013781619782093912
-2.0599999938583414e-08,-0.00020046115278660182
-2.0399999935913127e-08,-0.00026108530275337216
-2.019999993324284e-08,-0.0003156470377234655
-1.9999999930572554e-08,-0.00035889226469976165
-1.9799999927902268e-08,-0.000406583262673621
-1.9599999925231982e-08,-0.00045669922664615115
-1.9399999922561695e-08,-0.0005007527756220043
-1.919999991989141e-08,-0.0005512729005943129
-1.8999999917221123e-08,-0.0005735017555821287
-1.8799999914550836e-08,-0.0006555464385371579
-1.859999991188055e-08,-0.0006959625385150048
-1.8399999909210263e-08,-0.0007379952824919656
-1.8199999906539977e-08,-0.0007711364844738
-1.799999990386969e-08,-0.0008119567454514254
-1.7799999901199404e-08,-0.0008503520404303799
-1.7599999898529118e-08,-0.0008851098864113283
-1.739999989585883e-08,-0.0009178469273933842
-1.7199999893188545e-08,-0.000953817256373668
-1.699999989051826e-08,-0.0009716003403639206
-1.6799999887847972e-08,-0.00098493765335661
-1.6599999885177686e-08,-0.0009954458393508503
-1.63999998825074e-08,-0.0009853418143563886
-1.6199999879837113e-08,-0.0009699836963648067
-1.5999999877166827e-08,-0.0009231010203905043
-1.579999987449654e-08,-0.0008628810314235125
-1.5599999871826254e-08,-0.0007808363484684833
-1.5399999869155967e-08,-0.0007012166315121249
-1.519999986648568e-08,-0.0005957306105699445
-1.4999999863815395e-08,-0.0004728656666372899
-1.4799999861145108e-08,-0.0003297926727157119
-1.4599999858474822e-08,-0.0001838905517956846
-1.4399999855804535e-08,-2.7884405881195562e-05
-1.4199999853134249e-08,0.00015479636601867242
-1.3999999850463963e-08,0.00030676090193537675
-1.3799999847793676e-08,0.00047731684384189066
-1.359999984512339e-08,0.0006369604387543859
-1.3399999842453104e-08,0.000779225110676407
-1.3199999839782817e-08,0.0008952193176128276
-1.299999983711253e-08,0.0010237425155423807
-1.2799999834442244e-08,0.0010884082755069358
-1.2599999831771958e-08,0.0011433741714768075
-1.2399999829101672e-08,0.0011639863824655095
-1.2199999826431385e-08,0.0011534781964712693
-1.1999999823761099e-08,0.0011312493414834535
-1.1799999821090812e-08,0.0010427380825319688
-1.1599999818420526e-08,0.0009857513815632046
-1.139999981575024e-08,0.0008758195896234611
-1.1199999813079953e-08,0.0007557837726892558
-1.0999999810409667e-08,0.0006785890217315682
-1.079999980773938e-08,0.0005512783068013505
-1.0599999805069094e-08,0.0004651920138485366
-1.0399999802398808e-08,0.00037991404289527964
-1.0199999799728521e-08,0.00030959002893382603
-9.999999797058235e-09,0.0002901903009444595
-9.799999794387948e-09,0.00024209514197082171
-9.599999791717662e-09,0.00022309957498123367
-9.399999789047376e-09,0.0002045081689914241
-9.19999978637709e-09,0.00017540857700737433
-8.999999783706803e-09,0.00016449623001335567
-8.799999781036517e-09,0.00014347985802487528
-8.59999977836623e-09,9.174725005323126e-05
-8.399999775695944e-09,4.68853790778212e-05
-8.199999773025657e-09,-2.505527888274628e-05
-7.999999770355371e-09,-9.497513184442141e-05
-7.799999767685085e-09,-0.00016247001880742573
-7.599999765014798e-09,-0.00022632745677242383
-7.399999762344512e-09,-0.0003233260967192564
-7.199999759674225e-09,-0.00038880017868336836
-6.999999757003939e-09,-0.00048014056463330235
-6.799999754333653e-09,-0.0005795641705788057
-6.599999751663366e-09,-0.0006696920735294043
-6.39999974899308e-09,-0.0007573950104813321
-6.1999997463227934e-09,-0.0008596477434252847
-5.999999743652507e-09,-0.0009509881293752187
-5.799999740982221e-09,-0.001045965964323159
-5.599999738311934e-09,-0.0011526644682646747
-5.399999735641648e-09,-0.0012229884822261283
-5.1999997329713615e-09,-0.00127270028519888
-4.999999730301075e-09,-0.0012698711582004307
-4.799999727630789e-09,-0.0012646170652033106
-4.599999724960502e-09,-0.0013466617481583398
-4.399999722290216e-09,-0.0014707391750903298
-4.1999997196199295e-09,-0.0015750127130331748
-3.999999716949643e-09,-0.0017100024869591834
-3.799999714279357e-09,-0.0020676849717631285
-3.5999997116090703e-09,-0.0028372075153413334
-3.399999708938784e-09,-0.003826997803798804
-3.1999997062684975e-09,-0.004532258748412232
-2.999999703598211e-09,-0.004676140064333367
-2.7999997009279248e-09,-0.004280062284550468
-2.5999996982576384e-09,-0.0035343852399591924
-2.399999695587352e-09,-0.0026642266074361487
-2.1999996929170656e-09,-0.0019326951978371198
-1.999999690246779e-09,-0.0014262814651146982
-1.7999996875764928e-09,-0.0011013360212928092
-1.5999996849062064e-09,-0.0008285273464423426
-1.39999968223592e-09,-0.0004906487506275425
-1.1999996795656336e-09,-5.0113260869011356e-05
-9.999996768953472e-10,0.0003997179318844246
-7.999996742250608e-10,0.0007634628316850467
-5.999996715547744e-10,0.0009663516535738381
-3.9999966888448805e-10,0.0010629461325208922
-1.9999966621420166e-10,0.0011332701464823458
3.3645608473285843e-16,0.0012492643534187664
2.0000033912637112e-10,0.001417799490326388
4.000003417966575e-10,0.0016522128701979
6.000003444669439e-10,0.0019031968510603292
8.000003471372303e-10,0.0020474823279812426
1.0000003498075167e-09,0.0020980024529535513
1.200000352477803e-09,0.0021169980199431393
1.4000003551480895e-09,0.0021404393579302905
1.6000003578183759e-09,0.002251179471869591
1.8000003604886623e-09,0.0023756610598013594
2.0000003631589487e-09,0.0025429837137096456
2.200000365829235e-09,0.002599162092678853
2.4000003684995214e-09,0.002620178464667333
2.600000371169808e-09,0.002595120482681068
2.8000003738400942e-09,0.0025652125686974614
3.0000003765103806e-09,0.0024997384867333494
3.200000379180667e-09,0.0024431559467643638
3.4000003818509534e-09,0.002458918225755724
3.6000003845212398e-09,0.0024746805047470843
3.800000387191526e-09,0.0024593223867555025
4.0000003898618126e-09,0.0023962732707900614
4.200000392532099e-09,0.0022758332928560776
4.400000395202385e-09,0.0020915358769570958
4.600000397872672e-09,0.0019221924180499173
4.800000400542958e-09,0.0017803319071276746
5.0000004032132445e-09,0.0016570628021952416
5.200000405883531e-09,0.0014913567922860693
5.400000408553817e-09,0.0013078676983866444
5.600000411224104e-09,0.001130845180483675
5.80000041389439e-09,0.0010277841255401654
6.0000004165646765e-09,0.0009012817326095046
6.200000419234963e-09,0.0007586128996877051
6.400000421905249e-09,0.0005751238057882802
6.600000424575536e-09,0.0003726391448992672
6.800000427245822e-09,0.00021380387198632889
7.0000004299161085e-09,0.00014671314602310304
7.200000432586395e-09,8.447235205721881e-05
7.400000435256681e-09,-6.059711893158237e-06
7.600000437926968e-09,-0.00020490692378416497
7.800000440597254e-09,-0.00048377801363130857
8.00000044326754e-09,-0.0007501201124853196
8.200000445937827e-09,-0.0009295675963869598
8.400000448608113e-09,-0.0010302036853317986
8.6000004512784e-09,-0.0011142691732857202
8.800000453948686e-09,-0.001265829548202646
9.000000456618972e-09,-0.001507113665070392
9.200000459289259e-09,-0.0017766890519226308
9.400000461959545e-09,-0.0019824070008098715
9.600000464629832e-09,-0.002157812874713727
9.800000467300118e-09,-0.0022366242696705285
1.0000000469970404e-08,-0.002255215675660338
1.020000047264069e-08,-0.0022729987596505907
1.0400000475310977e-08,-0.0022968442586375204
1.0600000477981264e-08,-0.002345747739610715
1.080000048065155e-08,-0.0023772722975934357
1.1000000483321836e-08,-0.0024047552455783716
1.1200000485992123e-08,-0.002420517524569732
1.1400000488662409e-08,-0.0024132426265737195
1.1600000491332695e-08,-0.002371614043596537
1.1800000494002982e-08,-0.002293206809639514
1.2000000496673268e-08,-0.002217224541681162
1.2200000499343555e-08,-0.0022220744736785036
1.2400000502013841e-08,-0.002198228974691574
1.2600000504684127e-08,-0.002139625629723696
1.2800000507354414e-08,-0.0019900860598056624
1.30000005100247e-08,-0.0018373132018894012
1.3200000512694987e-08,-0.001727785570949436
1.3400000515365273e-08,-0.0017241481219514299
1.360000051803556e-08,-0.0017479936209383595
1.3800000520705846e-08,-0.0017936638139133265
1.4000000523376132e-08,-0.0018284216598942749
1.4200000526046419e-08,-0.0018522671588812045
1.4400000528716705e-08,-0.0018607545398765524
1.4600000531386991e-08,-0.0018502463538823122
1.4800000534057278e-08,-0.0017766890519226308
1.5000000536727564e-08,-0.001683732021973583
1.520000053939785e-08,-0.001558846273042036
1.5400000542068137e-08,-0.0015050928600714997
1.5600000544738423e-08,-0.0015042845380719427
1.580000054740871e-08,-0.001598454051020326
1.6000000550078996e-08,-0.001677669606976906
1.6200000552749282e-08,-0.001695856851966937
1.640000055541957e-08,-0.0016267453210048188
1.6600000558089855e-08,-0.0015612712390407069
1.6800000560760142e-08,-0.00148650145408169
1.7000000563430428e-08,-0.0014970096400759303
1.7200000566100714e-08,-0.0015402548670522265
1.7400000568771e-08,-0.0016065372710158954
1.7600000571441287e-08,-0.0016534199469901978
1.7800000574111574e-08,-0.0016538241079899763
1.800000057678186e-08,-0.0015952207630220983
1.8200000579452146e-08,-0.001527725876059094
1.8400000582122433e-08,-0.0014557852180985265
1.860000058479272e-08,-0.0014885222590805824
1.8800000587463006e-08,-0.0015471256040484604
1.9000000590133292e-08,-0.0016255328380054834
1.920000059280358e-08,-0.0016465492099939638
1.9400000595473865e-08,-0.0016202787450083633
1.960000059814415e-08,-0.0015188343340639676
