保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-2.52e-08,0.0008657155646289993
-2.4999999997329714e-08,0.0008616739546312147
-2.4799999994659428e-08,0.0008818820046201381
-2.459999999198914e-08,0.0008681405306276702
-2.4399999989318855e-08,0.0008523782516363099
-2.419999998664857e-08,0.000830957718648051
-2.3999999983978282e-08,0.0007966040336668812
-2.3799999981307996e-08,0.0007513380016916926
-2.359999997863771e-08,0.0007064761307162826
-2.3399999975967423e-08,0.0006511060737466323
-2.3199999973297137e-08,0.0005832070257838495
-2.299999997062685e-08,0.0005254120028155285
-2.2799999967956564e-08,0.0004752960388429983
-2.2599999965286278e-08,0.0004106302788784433
-2.239999996261599e-08,0.00035121861191100834
-2.2199999959945705e-08,0.000290594461944238
-2.199999995727542e-08,0.0002267370239792399
-2.1799999954605132e-08,0.00016328374701402026
-2.1599999951934846e-08,7.962242005987719e-05
-2.139999994926456e-08,8.085923099088177e-06
-2.1199999946594273e-08,-6.870466685882093e-05
-2.0999999943923986e-08,-0.00013498707082248984
-2.07999999412537e-08,-0.00022188168577486067
-2.0599999938583414e-08,-0.0003099887837265669
-2.0399999935913127e-08,-0.00039405427168048845
-2.019999993324284e-08,-0.00047852392063418847
-1.9999999930572554e-08,-0.0005549103495923191
-1.9799999927902268e-08,-0.0006462507355422531
-1.9599999925231982e-08,-0.0007052582415099096
-1.9399999922561695e-08,-0.0007687115184751292
-1.919999991989141e-08,-0.0008301439904414565
-1.8999999917221123e-08,-0.0008992555214035747
-1.8799999914550836e-08,-0.0009295675963869598
-1.859999991188055e-08,-0.0009808960433588254
-1.8399999909210263e-08,-0.0010205038213371154
-1.8199999906539977e-08,-0.0010479867693220513
-1.799999990386969e-08,-0.0010811279713038857
-1.7799999901199404e-08,-0.0011025485042921446
-1.7599999898529118e-08,-0.0011239690372804034
-1.739999989585883e-08,-0.0011312439352764159
-1.7199999893188545e-08,-0.001155493595263124
-1.699999989051826e-08,-0.0011441770872693269
-1.6799999887847972e-08,-0.0011526644682646747
-1.6599999885177686e-08,-0.0011247773592799604
-1.63999998825074e-08,-0.0011118442072870494
-1.6199999879837113e-08,-0.0010560699893176206
-1.5999999877166827e-08,-0.001011612279341989
-1.579999987449654e-08,-0.0009493714853761048
-1.5599999871826254e-08,-0.0008948097504060115
-1.5399999869155967e-08,-0.0008075109744538622
-1.519999986648568e-08,-0.000745270180487978
-1.4999999863815395e-08,-0.0006636296585327273
-1.4799999861145108e-08,-0.0005965389325695014
-1.4599999858474822e-08,-0.0004930737166262134
-1.4399999855804535e-08,-0.00041628312666830425
-1.4199999853134249e-08,-0.0003140303937243516
-1.3999999850463963e-08,-0.00024047309176467024
-1.3799999847793676e-08,-0.00014953686681451472
-1.359999984512339e-08,-4.890077786967595e-05
-1.3399999842453104e-08,5.33519550742767e-05
-1.3199999839782817e-08,0.00013903408702731213
-1.299999983711253e-08,0.00024047849797170784
-1.2799999834442244e-08,0.00030676090193537675
-1.2599999831771958e-08,0.0004049720248815447
-1.2399999829101672e-08,0.00048014597084033994
-1.2199999826431385e-08,0.0005613823317958122
-1.1999999823761099e-08,0.0006244314477612534
-1.1799999821090812e-08,0.0006890972077258084
-1.1599999818420526e-08,0.000759421221687262
-1.139999981575024e-08,0.0008147912786569123
-1.1199999813079953e-08,0.000850761607637196
-1.0999999810409667e-08,0.0009142148846024156
-1.079999980773938e-08,0.0009445269595858008
-1.0599999805069094e-08,0.0009804972885660845
-1.0399999802398808e-08,0.0010164676175463683
-1.0199999799728521e-08,0.0010504171415277597
-9.999999797058235e-09,0.001079112572512031
-9.799999794387948e-09,0.0010742626405146893
-9.599999791717662e-09,0.0010625419715211137
-9.399999789047376e-09,0.001065371098519563
-9.19999978637709e-09,0.0010338465405368424
-8.999999783706803e-09,0.0009974720505567802
-8.799999781036517e-09,0.0009615017215764965
-8.59999977836623e-09,0.0008859236146179228
-8.399999775695944e-09,0.0008107496686591276
-8.199999773025657e-09,0.0007367882056996677
-7.999999770355371e-09,0.0006599976157417586
-7.799999767685085e-09,0.0005920985677789758
-7.599999765014798e-09,0.0005237953588164146
-7.399999762344512e-09,0.0004651920138485366
-7.199999759674225e-09,0.0003807223648948366
-6.999999757003939e-09,0.00033262720592119877
