保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-2.52e-08,0.0012298646254294
-2.4999999997329714e-08,0.0012654307934099052
-2.4799999994659428e-08,0.0012933179023946195
-2.459999999198914e-08,0.001286851326398164
-2.4399999989318855e-08,0.001253305963416551
-2.419999998664857e-08,0.0011845985934542114
-2.3999999983978282e-08,0.0011223577994883271
-2.3799999981307996e-08,0.0010294007695392793
-2.359999997863771e-08,0.0009376562225895668
-2.3399999975967423e-08,0.0008713738186258979
-2.3199999973297137e-08,0.0007768001446777362
-2.299999997062685e-08,0.0006951596227224854
-2.2799999967956564e-08,0.0006313021847574873
-2.2599999965286278e-08,0.0005654239417935969
-2.239999996261599e-08,0.0005306660958126486
-2.2199999959945705e-08,0.0005007581818290419
-2.199999995727542e-08,0.0004627670478498658
-2.1799999954605132e-08,0.0004324549728664806
-2.1599999951934846e-08,0.00038880558489040595
-2.139999994926456e-08,0.00037991404289527964
-2.1199999946594273e-08,0.0003229273419265155
-2.0999999943923986e-08,0.0002817029199491117
-2.07999999412537e-08,0.00022835366797835377
-2.0599999938583414e-08,0.00017096280600981117
-2.0399999935913127e-08,9.498053805145901e-05
-2.019999993324284e-08,3.152726108623938e-05
-1.9999999930572554e-08,-6.223809086236542e-05
-1.9799999927902268e-08,-0.00014145364681894534
-1.9599999925231982e-08,-0.0001992486697872664
-1.9399999922561695e-08,-0.00026916852274894154
-1.919999991989141e-08,-0.00032009280872102863
-1.8999999917221123e-08,-0.00038354608568624826
-1.8799999914550836e-08,-0.00040294581367561477
-1.859999991188055e-08,-0.00042800379566187985
-1.8399999909210263e-08,-0.0004469993626514679
-1.8199999906539977e-08,-0.00047731143763485306
-1.799999990386969e-08,-0.00046963237863906215
-1.7799999901199404e-08,-0.0005051985466195674
-1.7599999898529118e-08,-0.0004995402926226689
-1.739999989585883e-08,-0.0005456146465974143
-1.7199999893188545e-08,-0.0005541020275927622
-1.699999989051826e-08,-0.000575522560581021
-1.6799999887847972e-08,-0.000609067923562634
-1.6599999885177686e-08,-0.0006260426855533296
-1.63999998825074e-08,-0.000647867379541367
-1.6199999879837113e-08,-0.0006741378445269675
-1.5999999877166827e-08,-0.0006644379805322842
-1.579999987449654e-08,-0.0006721170395280751
-1.5599999871826254e-08,-0.0006438257695435823
-1.5399999869155967e-08,-0.0006422091255444684
-1.519999986648568e-08,-0.0006066429575639631
-1.4999999863815395e-08,-0.0005888598735737105
-1.4799999861145108e-08,-0.0005286398846067186
-1.4599999858474822e-08,-0.0005043902246200105
-1.4399999855804535e-08,-0.0004328537276592215
-1.4199999853134249e-08,-0.00036010474769909706
-1.3999999850463963e-08,-0.0002918015387365358
-1.3799999847793676e-08,-0.00019641954278881713
-1.359999984512339e-08,-0.00011033324983600323
-1.3399999842453104e-08,8.894245098645115e-06
-1.3199999839782817e-08,0.00011963435903794561
-1.299999983711253e-08,0.00021905796498344898
-1.2799999834442244e-08,0.00031848157092895235
-1.2599999831771958e-08,0.0004106302788784433
-1.2399999829101672e-08,0.00048661254683679545
-1.2199999826431385e-08,0.0005351118668102117
-1.1999999823761099e-08,0.0005464283748040089
-1.1799999821090812e-08,0.000531070256812427
-1.1599999818420526e-08,0.0005157121388208452
-1.139999981575024e-08,0.000446600607858727
-1.1199999813079953e-08,0.00039123055088907677
-1.0999999810409667e-08,0.00030554841893604134
-1.079999980773938e-08,0.0002489658789670557
-1.0599999805069094e-08,0.00016570871301269108
-1.0399999802398808e-08,9.983047004880063e-05
-1.0199999799728521e-08,5.6181082072725985e-05
-9.999999797058235e-09,4.044313101303487e-06
-9.799999794387948e-09,-1.7780380886733838e-05
-9.599999791717662e-09,-4.930493886945442e-05
