保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-2.52e-08,-6.463872892936706e-06
-2.4999999997329714e-08,-8.88883889160752e-06
-2.4799999994659428e-08,-2.060950788518312e-05
-2.459999999198914e-08,-2.7480244881417093e-05
-2.4399999989318855e-08,-3.313849887831566e-05
-2.419999998664857e-08,-4.768829487034054e-05
-2.3999999983978282e-08,-4.809245587011901e-05
-2.3799999981307996e-08,-5.617567586568839e-05
-2.359999997863771e-08,-4.2030040873441976e-05
-2.3399999975967423e-08,-5.577151486590992e-05
-2.3199999973297137e-08,-6.183392986258696e-05
-2.299999997062685e-08,-6.062144686325155e-05
-2.2799999967956564e-08,-4.768829487034054e-05
-2.2599999965286278e-08,-5.577151486590992e-05
-2.239999996261599e-08,-6.102560786303002e-05
-2.2199999959945705e-08,-5.981312486369461e-05
-2.199999995727542e-08,-6.183392986258696e-05
-2.1799999954605132e-08,-5.0517421868789825e-05
-2.1599999951934846e-08,-4.04133968743281e-05
-2.139999994926456e-08,-4.768829487034054e-05
-2.1199999946594273e-08,-4.324252387277738e-05
-2.0999999943923986e-08,-3.4755142877429535e-05
-2.07999999412537e-08,-3.3946820877872597e-05
-2.0599999938583414e-08,-2.86927278807525e-05
-2.0399999935913127e-08,-1.737621988695537e-05
-2.019999993324284e-08,-3.0713532879644845e-05
-1.9999999930572554e-08,-3.556346487698647e-05
-1.9799999927902268e-08,-3.1117693879423314e-05
-1.9599999925231982e-08,-4.162587987366351e-05
-1.9399999922561695e-08,-3.556346487698647e-05
-1.919999991989141e-08,-3.0713532879644845e-05
-1.8999999917221123e-08,-3.960507487477116e-05
-1.8799999914550836e-08,-4.000923587454963e-05
-1.859999991188055e-08,-5.172990486812523e-05
-1.8399999909210263e-08,-6.38547348614793e-05
-1.8199999906539977e-08,-4.526332887166973e-05
-1.799999990386969e-08,-7.274627685660562e-05
-1.7799999901199404e-08,-6.951298885837787e-05
-1.7599999898529118e-08,-6.547137886059318e-05
-1.739999989585883e-08,-7.759620885394725e-05
-1.7199999893188545e-08,-6.668386185992858e-05
-1.699999989051826e-08,-7.072547185771327e-05
-1.6799999887847972e-08,-7.800036985372572e-05
-1.6599999885177686e-08,-8.931687784752285e-05
-1.63999998825074e-08,-6.708802285970705e-05
-1.6199999879837113e-08,-6.38547348614793e-05
-1.5999999877166827e-08,-6.223809086236542e-05
-1.579999987449654e-08,-6.38547348614793e-05
-1.5599999871826254e-08,-5.0113260869011356e-05
-1.5399999869155967e-08,-6.425889586125777e-05
-1.519999986648568e-08,-4.405084587233432e-05
-1.4999999863815395e-08,-4.849661686989748e-05
-1.4799999861145108e-08,-4.930493886945442e-05
-1.4599999858474822e-08,-4.890077786967595e-05
-1.4399999855804535e-08,-4.324252387277738e-05
-1.4199999853134249e-08,-5.4154870866796045e-05
-1.3999999850463963e-08,-5.0921582868568294e-05
-1.3799999847793676e-08,-4.2434201873220445e-05
-1.359999984512339e-08,-4.6475811871005135e-05
-1.3399999842453104e-08,-4.6879972870783604e-05
-1.3199999839782817e-08,-3.3946820877872597e-05
-1.299999983711253e-08,-3.718010887610035e-05
-1.2799999834442244e-08,-2.3438634883632403e-05
-1.2599999831771958e-08,-2.828856688097403e-05
-1.2399999829101672e-08,-2.060950788518312e-05
-1.2199999826431385e-08,-1.8992863886069244e-05
-1.1999999823761099e-08,-3.0713532879644845e-05
-1.1799999821090812e-08,-3.8796752875214224e-05
-1.1599999818420526e-08,-5.132574386834676e-05
-1.139999981575024e-08,-5.940896386391614e-05
-1.1199999813079953e-08,-6.789634485926399e-05
-1.0999999810409667e-08,-6.142976886280849e-05
-1.079999980773938e-08,-6.870466685882093e-05
-1.0599999805069094e-08,-5.577151486590992e-05
-1.0399999802398808e-08,-4.809245587011901e-05
-1.0199999799728521e-08,-4.728413387056207e-05
-9.999999797058235e-09,-3.8392591875435755e-05
-9.799999794387948e-09,-5.657983686546686e-05
-9.599999791717662e-09,-3.7988430875657286e-05
-9.399999789047376e-09,-4.2030040873441976e-05
-9.19999978637709e-09,-4.2838362872998914e-05
-8.999999783706803e-09,-4.364668487255585e-05
-8.799999781036517e-09,-4.56674898714482e-05
-8.59999977836623e-09,-5.4963192866352983e-05
-8.399999775695944e-09,-5.0517421868789825e-05
-8.199999773025657e-09,-3.8796752875214224e-05
-7.999999770355371e-09,-4.324252387277738e-05
-7.799999767685085e-09,-3.192601587898025e-05
-7.599999765014798e-09,-3.8392591875435755e-05
-7.399999762344512e-09,-3.4350981877651066e-05
-7.199999759674225e-09,-3.233017687875872e-05
-6.999999757003939e-09,-3.192601587898025e-05
-6.799999754333653e-09,-3.758426987587882e-05
-6.599999751663366e-09,-1.0505482890721396e-05
-6.39999974899308e-09,-3.3946820877872597e-05
-6.1999997463227934e-09,-1.69720588871769e-05
-5.999999743652507e-09,-1.8992863886069244e-05
-5.799999740982221e-09,-1.4951253888284555e-05
-5.599999738311934e-09,-1.8588702886290775e-05
-5.399999735641648e-09,-3.4350981877651066e-05
-5.1999997329713615e-09,-2.424695688318934e-05
-4.999999730301075e-09,-4.122171887388504e-05
-4.799999727630789e-09,-2.86927278807525e-05
-4.599999724960502e-09,-3.596762587676494e-05
-4.399999722290216e-09,-4.2838362872998914e-05
-4.1999997196199295e-09,-5.0921582868568294e-05
-3.999999716949643e-09,-5.617567586568839e-05
-3.799999714279357e-09,-6.830050585904246e-05
-3.5999997116090703e-09,-6.91088278585994e-05
-3.399999708938784e-09,-7.315043785638409e-05
-3.1999997062684975e-09,-6.830050585904246e-05
-2.999999703598211e-09,-6.789634485926399e-05
-2.7999997009279248e-09,-5.4154870866796045e-05
-2.5999996982576384e-09,-5.900480286413767e-05
-2.399999695587352e-09,-4.6879972870783604e-05
-2.1999996929170656e-09,-3.718010887610035e-05
-1.999999690246779e-09,-4.405084587233432e-05
-1.7999996875764928e-09,-3.8392591875435755e-05
-1.5999996849062064e-09,-3.5159303877208004e-05
-1.39999968223592e-09,-2.7884405881195562e-05
-1.1999996795656336e-09,-2.2630312884075465e-05
-9.999996768953472e-10,-2.465111788296781e-05
-7.999996742250608e-10,-2.9501049880309438e-05
-5.999996715547744e-10,-2.909688888053097e-05
-3.9999966888448805e-10,-5.294238786746064e-05
-1.9999966621420166e-10,-5.294238786746064e-05
3.3645608473285843e-16,-5.7792319864802266e-05
2.0000033912637112e-10,-6.102560786303002e-05
4.000003417966575e-10,-6.062144686325155e-05
6.000003444669439e-10,-7.234211585682715e-05
8.000003471372303e-10,-6.668386185992858e-05
1.0000003498075167e-09,-7.03213108579348e-05
1.200000352477803e-09,-5.8196480864580735e-05
1.4000003551480895e-09,-4.6475811871005135e-05
1.6000003578183759e-09,-3.0309371879866376e-05
1.8000003604886623e-09,-2.5863600882303217e-05
2.0000003631589487e-09,-3.354265987809413e-05
2.200000365829235e-09,-4.2030040873441976e-05
2.4000003684995214e-09,-3.5159303877208004e-05
2.600000371169808e-09,-4.122171887388504e-05
2.8000003738400942e-09,-4.849661686989748e-05
3.0000003765103806e-09,-5.940896386391614e-05
3.200000379180667e-09,-4.890077786967595e-05
3.4000003818509534e-09,-4.768829487034054e-05
3.6000003845212398e-09,-3.8392591875435755e-05
3.800000387191526e-09,-2.6267761882081686e-05
4.0000003898618126e-09,-2.909688888053097e-05
4.200000392532099e-09,-2.2630312884075465e-05
4.400000395202385e-09,-3.152185487920178e-05
4.600000397872672e-09,-3.1117693879423314e-05
4.800000400542958e-09,-2.465111788296781e-05
5.0000004032132445e-09,-3.233017687875872e-05
5.200000405883531e-09,-3.192601587898025e-05
5.400000408553817e-09,-4.890077786967595e-05
