保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-1.02e-08,-4.485916787189126e-05
-9.999999997329714e-09,-5.4154870866796045e-05
-9.799999994659428e-09,-3.7988430875657286e-05
-9.599999991989141e-09,-5.4154870866796045e-05
-9.399999989318855e-09,-3.596762587676494e-05
-9.199999986648568e-09,-4.405084587233432e-05
-8.999999983978282e-09,-3.4350981877651066e-05
-8.799999981307996e-09,-4.890077786967595e-05
-8.59999997863771e-09,-4.364668487255585e-05
-8.399999975967423e-09,-5.617567586568839e-05
-8.199999973297136e-09,-5.294238786746064e-05
-7.99999997062685e-09,-6.466305686103624e-05
-7.799999967956564e-09,-5.0517421868789825e-05
-7.599999965286277e-09,-4.485916787189126e-05
-7.399999962615991e-09,-3.7988430875657286e-05
-7.1999999599457045e-09,-3.4350981877651066e-05
-6.999999957275418e-09,-2.3034473883853934e-05
-6.799999954605132e-09,-1.4951253888284555e-05
-6.599999951934845e-09,4.852635100860425e-06
-6.399999949264559e-09,2.0210753092442246e-05
-6.1999999465942725e-09,2.5464846089562343e-05
-5.999999943923986e-09,2.3848202090448467e-05
-5.7999999412537e-09,3.3143905085353254e-05
-5.599999938583413e-09,2.667732908889775e-05
-5.399999935913127e-09,2.3444041090669998e-05
-5.1999999332428405e-09,3.435638808468866e-05
-4.999999930572554e-09,3.395222708491019e-05
-4.799999927902268e-09,4.203544708047957e-05
-4.599999925231981e-09,4.203544708047957e-05
-4.399999922561695e-09,6.0222692070510675e-05
-4.1999999198914086e-09,5.6181082072725985e-05
-3.999999917221122e-09,3.718551508313794e-05
-3.799999914550836e-09,4.8502023076935075e-05
-3.5999999118805494e-09,3.6377193083581005e-05
-3.399999909210263e-09,3.718551508313794e-05
-3.1999999065399766e-09,2.0614914092220715e-05
-2.9999999038696902e-09,-5.251389893601299e-06
-2.799999901199404e-09,-9.292999891385989e-06
-2.5999998985291174e-09,-2.7076083881638624e-05
-2.399999895858831e-09,-5.4963192866352983e-05
-2.1999998931885447e-09,-5.294238786746064e-05
-1.9999998905182583e-09,-5.657983686546686e-05
-1.7999998878479719e-09,-5.172990486812523e-05
-1.5999998851776855e-09,-6.183392986258696e-05
-1.399999882507399e-09,-4.081755787410657e-05
-1.1999998798371127e-09,-5.172990486812523e-05
-9.999998771668263e-10,-4.04133968743281e-05
-7.999998744965399e-10,-4.122171887388504e-05
-5.999998718262535e-10,-2.505527888274628e-05
-3.9999986915596714e-10,-2.101366888496159e-05
-1.9999986648568075e-10,-4.081755787410657e-05
1.361846056464255e-16,-4.081755787410657e-05
2.0000013885489204e-10,-3.677594787632188e-05
4.0000014152517843e-10,-5.132574386834676e-05
6.000001441954648e-10,-4.6475811871005135e-05
8.000001468657512e-10,-3.4350981877651066e-05
1.0000001495360376e-09,-4.2838362872998914e-05
1.200000152206324e-09,-5.294238786746064e-05
1.4000001548766104e-09,-2.7884405881195562e-05
1.6000001575468968e-09,-3.718010887610035e-05
1.8000001602171832e-09,-2.6671922881860155e-05
2.0000001628874696e-09,-6.223809086236542e-05
2.200000165557756e-09,-6.466305686103624e-05
2.4000001682280424e-09,-6.951298885837787e-05
2.6000001708983287e-09,-8.527526784973816e-05
2.800000173568615e-09,-0.00010629163983821854
3.0000001762389015e-09,-0.00010912076683666783
3.200000178909188e-09,-0.00012488304582802812
3.4000001815794743e-09,-0.00014307029081805922
3.6000001842497607e-09,-0.00015034518881407166
3.800000186920047e-09,-0.0001681282728043243
4.0000001895903335e-09,-0.00015600344281097023
4.20000019226062e-09,-0.00018065726379745684
4.400000194930906e-09,-0.00018591135679457693
4.600000197601193e-09,-0.00017297820480166592
4.800000200271479e-09,-0.00017297820480166592
5.0000002029417654e-09,-0.00016772411180454583
5.200000205612052e-09,-0.00017419068780100133
5.400000208282338e-09,-0.0001786364587985645
5.600000210952625e-09,-0.00017136156080255205
5.800000213622911e-09,-0.00015802424780986257
6.000000216293197e-09,-0.00015923673080919798
6.200000218963484e-09,-0.0001382203588207176
6.40000022163377e-09,-0.00012932881682559128
6.6000002243040566e-09,-0.0001159915038329018
6.800000226974343e-09,-0.0001095249278364463
7.000000229644629e-09,-8.72960728486305e-05
7.200000232314916e-09,-8.123365785195347e-05
7.400000234985202e-09,-5.0517421868789825e-05
7.600000237655489e-09,-5.4154870866796045e-05
7.800000240325775e-09,-5.8196480864580735e-05
8.000000242996061e-09,-4.6879972870783604e-05
8.200000245666348e-09,-3.0713532879644845e-05
8.400000248336634e-09,-3.758426987587882e-05
8.60000025100692e-09,-4.364668487255585e-05
8.800000253677207e-09,-5.334654886723911e-05
9.000000256347493e-09,-4.728413387056207e-05
9.20000025901778e-09,-5.698399786524533e-05
9.400000261688066e-09,-4.364668487255585e-05
9.600000264358352e-09,-4.526332887166973e-05
9.800000267028639e-09,-3.192601587898025e-05
1.0000000269698925e-08,-3.152185487920178e-05
