保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-1.02e-08,-9.578345384397835e-05
-9.999999997329714e-09,-7.840453085350418e-05
-9.799999994659428e-09,-7.638372585461184e-05
-9.599999991989141e-09,-4.849661686989748e-05
-9.399999989318855e-09,-4.6071650871226666e-05
-9.199999986648568e-09,-3.273433787853719e-05
-8.999999983978282e-09,-1.9801185885626182e-05
-8.799999981307996e-09,-2.1821990884518527e-05
-8.59999997863771e-09,-7.676355892272113e-06
-8.399999975967423e-09,-5.251389893601299e-06
-8.199999973297136e-09,-8.88883889160752e-06
-7.99999997062685e-09,-1.2097798958166095e-06
-7.799999967956564e-09,-4.038906894265892e-06
-7.599999965286277e-09,-1.6139408955950785e-06
-7.399999962615991e-09,-5.655550893379768e-06
-7.1999999599457045e-09,-8.88883889160752e-06
-6.999999957275418e-09,-5.251389893601299e-06
-6.799999954605132e-09,2.8318301019680803e-06
-6.599999951934845e-09,2.1019075091999184e-05
-6.399999949264559e-09,3.758967608291641e-05
-6.1999999465942725e-09,3.6781354083359474e-05
-5.999999943923986e-09,4.0822964081144164e-05
-5.7999999412537e-09,5.2139472074941295e-05
-5.599999938583413e-09,5.011866707604895e-05
-5.399999935913127e-09,4.4864574078928854e-05
-5.1999999332428405e-09,5.6585243072504454e-05
-4.999999930572554e-09,7.15392000643078e-05
-4.799999927902268e-09,7.03267170649724e-05
-4.599999925231981e-09,4.4460413079150385e-05
-4.399999922561695e-09,3.6377193083581005e-05
-4.1999999198914086e-09,5.092698907560589e-05
-3.999999917221122e-09,5.294779407449823e-05
-3.799999914550836e-09,3.5973032083802536e-05
-3.5999999118805494e-09,2.0210753092442246e-05
-3.399999909210263e-09,1.1319211097315929e-05
-3.1999999065399766e-09,-8.484677891829051e-06
-2.9999999038696902e-09,-3.2305848947089544e-06
-2.799999901199404e-09,-7.272194892493644e-06
-2.5999998985291174e-09,-1.8184541886512307e-05
-2.399999895858831e-09,-5.0113260869011356e-05
-2.1999998931885447e-09,-7.234211585682715e-05
-1.9999998905182583e-09,-7.961701385283959e-05
-1.7999998878479719e-09,-0.00010144170784087692
-1.5999998851776855e-09,-8.163781885173194e-05
-1.399999882507399e-09,-9.659177584353529e-05
-1.1999998798371127e-09,-0.00010588747883844007
-9.999998771668263e-10,-0.00010305835183999079
-7.999998744965399e-10,-0.00010871660583688936
-5.999998718262535e-10,-0.000126499689827142
-3.9999986915596714e-10,-0.00012447888482824965
-1.9999986648568075e-10,-0.0001277121728264774
1.361846056464255e-16,-0.00013094546082470515
2.0000013885489204e-10,-0.00011679982583245874
4.0000014152517843e-10,-0.00012730801182669893
6.000001441954648e-10,-0.00012569136782758505
8.000001468657512e-10,-0.0001317537828242621
1.0000001495360376e-09,-0.00013377458782315443
1.200000152206324e-09,-0.00013579539282204678
1.4000001548766104e-09,-0.0001418578078187238
1.6000001575468968e-09,-0.00011679982583245874
1.8000001602171832e-09,-0.00012488304582802812
2.0000001628874696e-09,-0.00014549525681673003
2.200000165557756e-09,-0.00016772411180454583
2.4000001682280424e-09,-0.00018146558579701377
2.6000001708983287e-09,-0.00021016101678128507
2.800000173568615e-09,-0.0002174359147772975
3.0000001762389015e-09,-0.00021662759277774057
3.200000178909188e-09,-0.0002085443727821712
3.4000001815794743e-09,-0.00021420262677906976
3.6000001842497607e-09,-0.000210969338780842
3.800000186920047e-09,-0.00025057711675913197
4.0000001895903335e-09,-0.00023117738876976546
4.20000019226062e-09,-0.00022753993977175924
4.400000194930906e-09,-0.00020611940678350038
4.600000197601193e-09,-0.0001863155177943554
4.800000200271479e-09,-0.00016893659480388123
5.0000002029417654e-09,-0.00016449082380631808
5.200000205612052e-09,-0.00015559928181119176
5.400000208282338e-09,-0.00016044921380853339
5.600000210952625e-09,-0.00015479095981163482
5.800000213622911e-09,-0.00013902868082027453
6.000000216293197e-09,-9.416680984486447e-05
6.200000218963484e-09,-9.174184384619366e-05
6.40000022163377e-09,-7.03213108579348e-05
6.6000002243040566e-09,-6.102560786303002e-05
6.800000226974343e-09,-5.536735386613145e-05
7.000000229644629e-09,-3.5159303877208004e-05
7.200000232314916e-09,-1.1717965890056803e-05
7.400000234985202e-09,2.627316808911928e-05
7.600000237655489e-09,7.598497106187097e-05
7.800000240325775e-09,9.215141105300972e-05
8.000000242996061e-09,9.336389405234513e-05
8.200000245666348e-09,9.619302105079441e-05
8.400000248336634e-09,7.67932930614279e-05
8.60000025100692e-09,7.356000506320015e-05
8.800000253677207e-09,8.85139620550035e-05
9.000000256347493e-09,8.73014790556681e-05
9.20000025901778e-09,7.598497106187097e-05
9.400000261688066e-09,6.38601410685169e-05
9.600000264358352e-09,5.294779407449823e-05
9.800000267028639e-09,3.51647100842456e-05
1.0000000269698925e-08,5.33519550742767e-05
