保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-2.52e-08,0.0001770252210064882
-2.4999999997329714e-08,0.0001446923410242107
-2.4799999994659428e-08,0.00011640107103971786
-2.459999999198914e-08,7.275168306364321e-05
-2.4399999989318855e-08,4.0822964081144164e-05
-2.419999998664857e-08,-1.252628788961374e-05
-2.3999999983978282e-08,-4.405084587233432e-05
-2.3799999981307996e-08,-9.942090284198457e-05
-2.359999997863771e-08,-0.00013054129982492668
-2.3399999975967423e-08,-0.00017297820480166592
-2.3199999973297137e-08,-0.00020773605078261426
-2.299999997062685e-08,-0.00024693966776112575
-2.2799999967956564e-08,-0.0002816975137420741
-2.2599999965286278e-08,-0.0003039263687298899
-2.239999996261599e-08,-0.00033181347771460423
-2.2199999959945705e-08,-0.00036778380669488797
-2.199999995727542e-08,-0.0003896085006829253
-2.1799999954605132e-08,-0.0003972875596787162
-2.1599999951934846e-08,-0.0004118373556707411
-2.139999994926456e-08,-0.0004296204396609937
-2.1199999946594273e-08,-0.0004441702356530186
-2.0999999943923986e-08,-0.0004498284896499172
-2.07999999412537e-08,-0.0004647824466417205
-2.0599999938583414e-08,-0.00048539465763042244
-2.0399999935913127e-08,-0.0005060068686191244
-2.019999993324284e-08,-0.0005023694196211181
-1.9999999930572554e-08,-0.000516919215613143
-1.9799999927902268e-08,-0.000516919215613143
-1.9599999925231982e-08,-0.0005282357236069402
-1.9399999922561695e-08,-0.0005407647146000727
-1.919999991989141e-08,-0.0005399563926005158
-1.8999999917221123e-08,-0.0005318731726049464
-1.8799999914550836e-08,-0.0005270232406076047
-1.859999991188055e-08,-0.0005011569366217827
-1.8399999909210263e-08,-0.0005128776056153583
-1.8199999906539977e-08,-0.0004894362676282071
-1.799999990386969e-08,-0.0004874154626293148
-1.7799999901199404e-08,-0.0004469993626514679
-1.7599999898529118e-08,-0.00043608701565744923
-1.739999989585883e-08,-0.0003944584326802669
-1.7199999893188545e-08,-0.0003467674347064076
-1.699999989051826e-08,-0.0003035222077301114
-1.6799999887847972e-08,-0.000263510268752043
-1.6599999885177686e-08,-0.00020773605078261426
-1.63999998825074e-08,-0.00015034518881407166
-1.6199999879837113e-08,-6.466305686103624e-05
-1.5999999877166827e-08,1.6169143094657557e-05
-1.579999987449654e-08,9.659718205057288e-05
-1.5599999871826254e-08,0.00016045462001557098
-1.5399999869155967e-08,0.00024694507396816334
-1.519999986648568e-08,0.0003229273419265155
-1.4999999863815395e-08,0.0004296258458680313
-1.4799999861145108e-08,0.0005084372408248328
-1.4599999858474822e-08,0.0005819945427845141
-1.4399999855804535e-08,0.0006753557337333405
-1.4199999853134249e-08,0.0007331507567016615
-1.3999999850463963e-08,0.0007937749066684319
-1.3799999847793676e-08,0.000869757174626784
-1.359999984512339e-08,0.0009218939435982065
-1.3399999842453104e-08,0.0009546309845802625
-1.3199999839782817e-08,0.0009796889665665276
-1.299999983711253e-08,0.0010124260075485836
-1.2799999834442244e-08,0.0010475880145293104
-1.2599999831771958e-08,0.0010629461325208922
-1.2399999829101672e-08,0.001077495928512917
-1.2199999826431385e-08,0.0010823458605102587
-1.1999999823761099e-08,0.001079920894511588
-1.1799999821090812e-08,0.0010948748515033913
-1.1599999818420526e-08,0.0010827500215100372
-1.139999981575024e-08,0.001092854046504499
-1.1199999813079953e-08,0.0010564795565244367
-1.0999999810409667e-08,0.0010289966085395008
-1.079999980773938e-08,0.0010160634565465898
-1.0599999805069094e-08,0.0009522060185815917
-1.0399999802398808e-08,0.0008940068346134922
-1.0199999799728521e-08,0.0008410617436425127
-9.999999797058235e-09,0.0007634628316850467
-9.799999794387948e-09,0.0007153676727114089
-9.599999791717662e-09,0.0006308980237577089
-9.399999789047376e-09,0.000544003408805338
-9.19999978637709e-09,0.00047367939484388444
-8.999999783706803e-09,0.0004049720248815447
-8.799999781036517e-09,0.000323331502926294
-8.59999977836623e-09,0.0002530074889648404
-8.399999775695944e-09,0.00016853784001114036
-8.199999773025657e-09,8.770564005544657e-05
-7.999999770355371e-09,1.6573304094436025e-05
-7.799999767685085e-09,-5.334654886723911e-05
-7.599999765014798e-09,-0.000139432841820053
-7.399999762344512e-09,-0.0002162234317779621
-7.199999759674225e-09,-0.00030190556373099753
-6.999999757003939e-09,-0.0003625297136977679
-6.799999754333653e-09,-0.0004457868796521325
-6.599999751663366e-09,-0.0005116651226160229
-6.39999974899308e-09,-0.0005848182635759258
-6.1999997463227934e-09,-0.0006304884565508928
-5.999999743652507e-09,-0.000712533139505922
-5.799999740982221e-09,-0.0007727531284729139
-5.599999738311934e-09,-0.0008471187524321522
-5.399999735641648e-09,-0.0009251218253893967
-5.1999997329713615e-09,-0.0009877667803550594
-4.999999730301075e-09,-0.0010576866333167345
-4.799999727630789e-09,-0.001135689706273979
-4.599999724960502e-09,-0.0012043970762363188
-4.399999722290216e-09,-0.0012751252511975508
-4.1999997196199295e-09,-0.0013422159771607767
-3.999999716949643e-09,-0.0014246648211155843
-3.799999714279357e-09,-0.0014869056150814686
-3.5999997116090703e-09,-0.0015127719190672906
-3.399999708938784e-09,-0.0015463172820489035
-3.1999997062684975e-09,-0.0015948166020223198
-2.999999703598211e-09,-0.001625128677005705
-2.7999997009279248e-09,-0.0016901985979700385
-2.5999996982576384e-09,-0.0017374854349441193
-2.399999695587352e-09,-0.0017528435529357012
-2.1999996929170656e-09,-0.001723339799951873
-1.999999690246779e-09,-0.0016986859789653863
-1.7999996875764928e-09,-0.0016784779289764629
-1.5999996849062064e-09,-0.0017039400719625064
-1.39999968223592e-09,-0.001709598325959405
-1.1999996795656336e-09,-0.0016954526909671586
-9.999996768953472e-10,-0.0016671614209826657
-7.999996742250608e-10,-0.0016158329740108002
-5.999996715547744e-10,-0.00156571701003827
-3.9999966888448805e-10,-0.0015285341980586509
-1.9999966621420166e-10,-0.0015067095040706135
3.3645608473285843e-16,-0.0014654850820932097
2.0000033912637112e-10,-0.0014392146171076092
4.000003417966575e-10,-0.001370103086145491
6.000003444669439e-10,-0.0012989707501844805
8.000003471372303e-10,-0.0012302633802221408
1.0000003498075167e-09,-0.0011716600352542628
1.200000352477803e-09,-0.0011134608512861632
1.4000003551480895e-09,-0.0010799154883045503
1.6000003578183759e-09,-0.0010015082543475273
1.8000003604886623e-09,-0.0009489673243763264
2.0000003631589487e-09,-0.0008592435824255062
2.200000365829235e-09,-0.0007860904414656034
2.4000003684995214e-09,-0.0007105123345070297
2.600000371169808e-09,-0.0006325092615497852
2.8000003738400942e-09,-0.0005803724925783627
3.0000003765103806e-09,-0.000504794385619789
3.200000379180667e-09,-0.00044336191365346167
3.4000003818509534e-09,-0.0003439383077079583
3.6000003845212398e-09,-0.00025340624375758125
3.800000387191526e-09,-0.0001576200868100841
4.0000003898618126e-09,-6.587553986037165e-05
4.200000392532099e-09,3.1931422086017847e-05
4.400000395202385e-09,0.00010508456304592073
4.600000397872672e-09,0.00017136696700958964
4.800000400542958e-09,0.00023401192197525233
5.0000004032132445e-09,0.00029382774994246574
5.200000405883531e-09,0.000329393917922971
5.400000408553817e-09,0.00035606854390834997
5.600000411224104e-09,0.00036293928090458394
5.80000041389439e-09,0.00035606854390834997
6.0000004165646765e-09,0.00037344746689882413
6.200000419234963e-09,0.0003774890768966088
6.400000421905249e-09,0.0003637476029041409
6.600000424575536e-09,0.00034960196791189446
6.800000427245822e-09,0.00031969405392828776
7.0000004299161085e-09,0.0002760446659522131
7.200000432586395e-09,0.00026513231895819445
