保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-2.52e-08,-7.315043785638409e-05
-2.4999999997329714e-08,-0.00010346251283976926
-2.4799999994659428e-08,-0.00012488304582802812
-2.459999999198914e-08,-0.00016004505280875492
-2.4399999989318855e-08,-0.00018874048379302621
-2.419999998664857e-08,-0.00024006893076489177
-2.3999999983978282e-08,-0.00024936463375979656
-2.3799999981307996e-08,-0.0002942265047352066
-2.359999997863771e-08,-0.0003322176387143827
-2.3399999975967423e-08,-0.0003698046116937803
-2.3199999973297137e-08,-0.00038233360268691285
-2.299999997062685e-08,-0.0004102207116716272
-2.2799999967956564e-08,-0.00043729949865678464
-2.2599999965286278e-08,-0.0004587200316450435
-2.239999996261599e-08,-0.00048135304763263775
-2.2199999959945705e-08,-0.00047488647163618225
-2.199999995727542e-08,-0.0004752906326359607
-2.1799999954605132e-08,-0.0004663990906408344
-2.1599999951934846e-08,-0.0004817572086324162
-2.139999994926456e-08,-0.00044740352365124636
-2.1199999946594273e-08,-0.0004510409726492526
-2.0999999943923986e-08,-0.0004183039316671966
-2.07999999412537e-08,-0.0004178997706674181
-2.0599999938583414e-08,-0.0004041582966749502
-2.0399999935913127e-08,-0.0004090082286722918
-2.019999993324284e-08,-0.0003750587046909004
-1.9999999930572554e-08,-0.00037465454369112194
-1.9799999927902268e-08,-0.0003269635457172626
-1.9599999925231982e-08,-0.00030675549572833916
-1.9399999922561695e-08,-0.0002776559037442894
-1.919999991989141e-08,-0.00025583120975625206
-1.8999999917221123e-08,-0.00021864839777663292
-1.8799999914550836e-08,-0.0001939945767901463
-1.859999991188055e-08,-0.00014953686681451472
-1.8399999909210263e-08,-0.0001341787488229329
-1.8199999906539977e-08,-8.123365785195347e-05
-1.799999990386969e-08,-5.8600641864359204e-05
-1.7799999901199404e-08,-1.616373688761996e-05
-1.7599999898529118e-08,8.085923099088177e-06
-1.739999989585883e-08,4.971450607627048e-05
-1.7199999893188545e-08,7.073087806475087e-05
-1.699999989051826e-08,0.00010185127504769298
-1.6799999887847972e-08,0.00013135502803152121
-1.6599999885177686e-08,0.0001446923410242107
-1.63999998825074e-08,0.00017298361100870352
-1.6199999879837113e-08,0.00018147099200405137
-1.5999999877166827e-08,0.00020167904199297482
-1.579999987449654e-08,0.00022067460898256286
-1.5599999871826254e-08,0.00022107876998234133
-1.5399999869155967e-08,0.0002150163549856643
-1.519999986648568e-08,0.00022512037998012602
-1.4999999863815395e-08,0.00020935810098876573
-1.4799999861145108e-08,0.00021057058398810113
-1.4599999858474822e-08,0.00020935810098876573
-1.4399999855804535e-08,0.0002032956859920887
-1.4199999853134249e-08,0.00019602078799607625
-1.3999999850463963e-08,0.00016611287401246955
-1.3799999847793676e-08,0.0001640920690135772
-1.359999984512339e-08,0.00015075475602088773
-1.3399999842453104e-08,0.00013377999403019203
-1.3199999839782817e-08,0.00010953033404348389
-1.299999983711253e-08,9.295973305256666e-05
-1.2799999834442244e-08,5.2139472074941295e-05
-1.2599999831771958e-08,4.8906184076713544e-05
-1.2399999829101672e-08,3.354806608513172e-05
-1.2199999826431385e-08,2.703103518797434e-09
-1.1999999823761099e-08,-1.737621988695537e-05
-1.1799999821090812e-08,-3.4350981877651066e-05
-1.1599999818420526e-08,-9.3762648845086e-05
-1.139999981575024e-08,-0.00012690385082692046
-1.1199999813079953e-08,-0.0001810614247972353
-1.0999999810409667e-08,-0.00020167363578593722
-1.079999980773938e-08,-0.0002542145657571382
-1.0599999805069094e-08,-0.00028735576773897265
-1.0399999802398808e-08,-0.00033262179971416117
-1.0199999799728521e-08,-0.0003633380356973248
-9.999999797058235e-09,-0.00041264567767029803
-9.799999794387948e-09,-0.0004348745326581138
-9.599999791717662e-09,-0.0004546784216472588
-9.399999789047376e-09,-0.0004954986826248842
-9.19999978637709e-09,-0.0005112609616162445
-8.999999783706803e-09,-0.0005318731726049464
-8.799999781036517e-09,-0.0005484437735958636
-8.59999977836623e-09,-0.0005617810865885531
-8.399999775695944e-09,-0.0005674393405854516
-8.199999773025657e-09,-0.0005916890005721598
-7.999999770355371e-09,-0.0005989638985681722
-7.799999767685085e-09,-0.0006147261775595325
-7.599999765014798e-09,-0.0006106845675617478
-7.399999762344512e-09,-0.0006098762455621909
-7.199999759674225e-09,-0.0006175553045579818
-6.999999757003939e-09,-0.0006179594655577603
-6.799999754333653e-09,-0.0005836057805765904
-6.599999751663366e-09,-0.0005690559845845655
-6.39999974899308e-09,-0.0005528895445934268
-6.1999997463227934e-09,-0.0005250024356087124
-5.999999743652507e-09,-0.0004926695556264349
-5.799999740982221e-09,-0.00045387009964770186
-5.599999738311934e-09,-0.00042153721966542435
-5.399999735641648e-09,-0.00037707950968979276
-5.1999997329713615e-09,-0.0003403008587099521
-4.999999730301075e-09,-0.0002865474457394157
-4.799999727630789e-09,-0.00024289805776334106
-4.599999724960502e-09,-0.00019439873778992478
-4.399999722290216e-09,-0.0001551951208114133
-4.1999997196199295e-09,-9.740009784309223e-05
-3.999999716949643e-09,-6.304641286192236e-05
