保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-2.52e-08,-2.2630312884075465e-05
-2.4999999997329714e-08,-4.162587987366351e-05
-2.4799999994659428e-08,-6.021728586347308e-05
-2.459999999198914e-08,-7.112963285749174e-05
-2.4399999989318855e-08,-7.719204785416878e-05
-2.419999998664857e-08,-9.982506384176304e-05
-2.3999999983978282e-08,-9.699593684331376e-05
-2.3799999981307996e-08,-0.00012043727483046496
-2.359999997863771e-08,-0.00013458290982271137
-2.3399999975967423e-08,-0.00014024116381960994
-2.3199999973297137e-08,-0.00013862451982049606
-2.299999997062685e-08,-0.0001471119008158439
-2.2799999967956564e-08,-0.00013983700281983147
-2.2599999965286278e-08,-0.00014024116381960994
-2.239999996261599e-08,-0.00013054129982492668
-2.2199999959945705e-08,-0.0001289246558258128
-2.199999995727542e-08,-0.00011356653783423099
-2.1799999954605132e-08,-0.0001382203588207176
-2.1599999951934846e-08,-8.931687784752285e-05
-2.139999994926456e-08,-9.25501658457506e-05
-2.1199999946594273e-08,-6.425889586125777e-05
-2.0999999943923986e-08,-7.638372585461184e-05
-2.07999999412537e-08,-5.334654886723911e-05
-2.0599999938583414e-08,-4.970909986923289e-05
-2.0399999935913127e-08,-2.5459439882524748e-05
-2.019999993324284e-08,-3.637178687654341e-05
-1.9999999930572554e-08,-6.868033892715175e-06
-1.9799999927902268e-08,-2.020534688540465e-05
-1.9599999925231982e-08,-1.2097798958166095e-06
-1.9399999922561695e-08,-4.038906894265892e-06
-1.919999991989141e-08,-7.272194892493644e-06
-1.8999999917221123e-08,3.6401521015250182e-06
-1.8799999914550836e-08,3.071893908668244e-05
-1.859999991188055e-08,6.469279099974301e-06
-1.8399999909210263e-08,3.395222708491019e-05
-1.8199999906539977e-08,1.3744177095986743e-05
-1.799999990386969e-08,1.3744177095986743e-05
-1.7799999901199404e-08,1.091505009753746e-05
-1.7599999898529118e-08,1.7381626093992963e-05
-1.739999989585883e-08,4.448474101081956e-06
-1.7199999893188545e-08,1.6169143094657557e-05
-1.699999989051826e-08,1.2151861028542044e-06
-1.6799999887847972e-08,1.6573304094436025e-05
-1.6599999885177686e-08,-6.463872892936706e-06
-1.63999998825074e-08,-4.038906894265892e-06
-1.6199999879837113e-08,-2.101366888496159e-05
-1.5999999877166827e-08,-1.8588702886290775e-05
-1.579999987449654e-08,-2.141782988474006e-05
-1.5599999871826254e-08,-1.0909643890499865e-05
-1.5399999869155967e-08,-2.6267761882081686e-05
-1.519999986648568e-08,-1.8588702886290775e-05
-1.4999999863815395e-08,-1.8992863886069244e-05
-1.4799999861145108e-08,-3.5159303877208004e-05
-1.4599999858474822e-08,-5.253822686768217e-05
-1.4399999855804535e-08,-5.536735386613145e-05
-1.4199999853134249e-08,-6.062144686325155e-05
-1.3999999850463963e-08,-6.425889586125777e-05
-1.3799999847793676e-08,-9.295432684552907e-05
-1.359999984512339e-08,-9.861258084242763e-05
-1.3399999842453104e-08,-0.0001054833178386616
-1.3199999839782817e-08,-0.00011194989383511711
-1.299999983711253e-08,-0.00013054129982492668
-1.2799999834442244e-08,-0.00013256210482381903
-1.2599999831771958e-08,-0.0001588325698094195
-1.2399999829101672e-08,-0.00016731995080476736
-1.2199999826431385e-08,-0.0001576200868100841
-1.1999999823761099e-08,-0.00017419068780100133
-1.1799999821090812e-08,-0.0001705532388029951
-1.1599999818420526e-08,-0.00017419068780100133
-1.139999981575024e-08,-0.0001903571277921401
-1.1199999813079953e-08,-0.00018469887379524152
-1.0999999810409667e-08,-0.00019965283078704488
-1.079999980773938e-08,-0.0002085443727821712
-1.0599999805069094e-08,-0.000210969338780842
-1.0399999802398808e-08,-0.0002202650417757468
-1.0199999799728521e-08,-0.00022713577877198077
-9.999999797058235e-09,-0.0002190525587764114
-9.799999794387948e-09,-0.0002202650417757468
-9.599999791717662e-09,-0.00021299014377973435
-9.399999789047376e-09,-0.00021460678777884823
-9.19999978637709e-09,-0.00021218182178017742
-8.999999783706803e-09,-0.00021218182178017742
-8.799999781036517e-09,-0.00020167363578593722
-8.59999977836623e-09,-0.0002137984657792913
-8.399999775695944e-09,-0.00021177766078039895
-8.199999773025657e-09,-0.00021258598277995588
-7.999999770355371e-09,-0.0001915696107914755
-7.799999767685085e-09,-0.00021177766078039895
-7.599999765014798e-09,-0.0001786364587985645
-7.399999762344512e-09,-0.0001992486697872664
-7.199999759674225e-09,-0.0001810614247972353
-6.999999757003939e-09,-0.00018025310279767837
-6.799999754333653e-09,-0.00016853243380410277
-6.599999751663366e-09,-0.00017257404380188746
-6.39999974899308e-09,-0.0001616616968078688
-6.1999997463227934e-09,-0.0001511535108136286
-5.999999743652507e-09,-0.0001329662658235975
-5.799999740982221e-09,-0.00013902868082027453
-5.599999738311934e-09,-0.00011962895283090802
-5.399999735641648e-09,-0.00012164975782980036
-5.1999997329713615e-09,-9.335848784530754e-05
-4.999999730301075e-09,-9.78042588428707e-05
-4.799999727630789e-09,-8.406278485040275e-05
-4.599999724960502e-09,-7.43629208557195e-05
-4.399999722290216e-09,-7.678788685439031e-05
-4.1999997196199295e-09,-9.78042588428707e-05
-3.999999716949643e-09,-5.0113260869011356e-05
-3.799999714279357e-09,-6.789634485926399e-05
-3.5999997116090703e-09,-5.172990486812523e-05
-3.399999708938784e-09,-5.617567586568839e-05
-3.1999997062684975e-09,-4.56674898714482e-05
-2.999999703598211e-09,-4.930493886945442e-05
-2.7999997009279248e-09,-3.556346487698647e-05
-2.5999996982576384e-09,-4.890077786967595e-05
-2.399999695587352e-09,-3.0713532879644845e-05
-2.1999996929170656e-09,-2.5863600882303217e-05
-1.999999690246779e-09,-1.8588702886290775e-05
-1.7999996875764928e-09,-4.405084587233432e-05
-1.5999996849062064e-09,-2.909688888053097e-05
-1.39999968223592e-09,-5.536735386613145e-05
-1.1999996795656336e-09,-3.596762587676494e-05
-9.999996768953472e-10,-2.9501049880309438e-05
-7.999996742250608e-10,-2.3034473883853934e-05
-5.999996715547744e-10,-5.334654886723911e-05
-3.9999966888448805e-10,-4.04133968743281e-05
-1.9999966621420166e-10,-5.21340658679037e-05
3.3645608473285843e-16,-4.56674898714482e-05
2.0000033912637112e-10,-7.921285285306112e-05
4.000003417966575e-10,-5.0921582868568294e-05
6.000003444669439e-10,-6.627970086015011e-05
8.000003471372303e-10,-8.770023384840897e-05
1.0000003498075167e-09,-8.527526784973816e-05
1.200000352477803e-09,-5.4963192866352983e-05
1.4000003551480895e-09,-7.961701385283959e-05
1.6000003578183759e-09,-4.728413387056207e-05
1.8000003604886623e-09,-5.940896386391614e-05
2.0000003631589487e-09,-6.749218385948552e-05
2.200000365829235e-09,-8.60835898492951e-05
2.4000003684995214e-09,-7.234211585682715e-05
2.600000371169808e-09,-0.00010184586884065538
2.8000003738400942e-09,-0.00010346251283976926
3.0000003765103806e-09,-0.00013054129982492668
3.200000379180667e-09,-0.00013700787582138219
3.4000003818509534e-09,-0.00015842840880964104
3.6000003845212398e-09,-0.00016893659480388123
3.800000387191526e-09,-0.00017297820480166592
4.0000003898618126e-09,-0.0001838905517956846
4.200000392532099e-09,-0.00019601538178903866
4.400000395202385e-09,-0.00017540317080033674
4.600000397872672e-09,-0.00020167363578593722
4.800000400542958e-09,-0.00018429471279546306
5.0000004032132445e-09,-0.00020531108478394344
5.200000405883531e-09,-0.0001915696107914755
5.400000408553817e-09,-0.00020126947478615875
5.600000411224104e-09,-0.00019237793279103244
5.80000041389439e-09,-0.00019480289878970325
6.0000004165646765e-09,-0.00017782813679900755
6.200000419234963e-09,-0.0001786364587985645
6.400000421905249e-09,-0.00015802424780986257
6.600000424575536e-09,-0.0001458994178165085
6.800000427245822e-09,-0.0001277121728264774
7.0000004299161085e-09,-0.00010790828383733242
7.200000432586395e-09,-7.597956485483337e-05
7.400000435256681e-09,-7.234211585682715e-05
7.600000437926968e-09,-6.223809086236542e-05
7.800000440597254e-09,-5.900480286413767e-05
8.00000044326754e-09,-2.909688888053097e-05
8.200000445937827e-09,-2.5459439882524748e-05
8.400000448608113e-09,-7.676355892272113e-06
8.6000004512784e-09,1.1723372097094398e-05
8.800000453948686e-09,3.6401521015250182e-06
9.000000456618972e-09,1.3340016096208274e-05
9.200000459289259e-09,2.303988009089153e-05
9.400000461959545e-09,2.627316808911928e-05
9.600000464629832e-09,5.6181082072725985e-05
9.800000467300118e-09,3.920632008203029e-05
1.0000000469970404e-08,6.103101407006761e-05
1.020000047264069e-08,6.103101407006761e-05
1.0400000475310977e-08,8.123906405899106e-05
1.0600000477981264e-08,7.840993706054178e-05
1.080000048065155e-08,9.255557205278819e-05
1.1000000483321836e-08,0.00010629704604525614
1.1200000485992123e-08,0.0001289300620328504
1.1400000488662409e-08,0.00012165516403683796
1.1600000491332695e-08,0.00014105489202620447
1.1800000494002982e-08,0.0001353966380293059
1.2000000496673268e-08,0.00015317972201955854
1.2200000499343555e-08,0.00015600884901800782
1.2400000502013841e-08,0.00017823770400582362
1.2600000504684127e-08,0.0001564130100177863
1.2800000507354414e-08,0.0001875334070007284
1.30000005100247e-08,0.00017621689900693127
1.3200000512694987e-08,0.00019602078799607625
1.3400000515365273e-08,0.00018470428000227912
1.360000051803556e-08,0.00021137890598765807
1.3800000520705846e-08,0.0002069331349900949
1.4000000523376132e-08,0.00020410400799164563
1.4200000526046419e-08,0.0001968291099956332
1.4400000528716705e-08,0.00021420803298610736
1.4600000531386991e-08,0.00020006239799386094
1.4800000534057278e-08,0.00021259138898699348
1.5000000536727564e-08,0.00020006239799386094
1.520000053939785e-08,0.00020410400799164563
1.5400000542068137e-08,0.00019197917799829156
1.5600000544738423e-08,0.00020369984699186716
1.580000054740871e-08,0.0001887458900000638
1.6000000550078996e-08,0.0002004665589936394
1.6200000552749282e-08,0.00018066267000449443
1.640000055541957e-08,0.000199254075994304
1.6600000558089855e-08,0.00017945018700515902
1.6800000560760142e-08,0.00016975032301047577
1.7000000563430428e-08,0.0001523714000200016
1.7200000566100714e-08,0.00017621689900693127
1.7400000568771e-08,0.00015600884901800782
1.7600000571441287e-08,0.00017096280600981117
1.7800000574111574e-08,0.0001483297900222169
1.800000057678186e-08,0.00015802965401690017
1.8200000579452146e-08,0.00014873395102199538
1.8400000582122433e-08,0.00013903408702731213
1.860000058479272e-08,0.00012933422303262887
1.8800000587463006e-08,0.00014307569702509682
1.9000000590133292e-08,0.0001236759690357303
1.920000059280358e-08,0.0001301425450321858
