保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-2.52e-08,0.0001107428170428193
-2.4999999997329714e-08,0.00011438026604082552
-2.4799999994659428e-08,9.659718205057288e-05
-2.459999999198914e-08,9.336389405234513e-05
-2.4399999989318855e-08,9.134308905345279e-05
-2.419999998664857e-08,9.053476705389585e-05
-2.3999999983978282e-08,6.709342906674465e-05
-2.3799999981307996e-08,7.638913206164943e-05
-2.359999997863771e-08,6.830591206608005e-05
-2.3399999975967423e-08,6.103101407006761e-05
-2.3199999973297137e-08,4.728954007759967e-05
-2.299999997062685e-08,6.103101407006761e-05
-2.2799999967956564e-08,4.931034507649201e-05
-2.2599999965286278e-08,4.243960808025804e-05
-2.239999996261599e-08,5.698940407228292e-05
-2.2199999959945705e-08,6.628510706718771e-05
-2.199999995727542e-08,5.537276007316905e-05
-2.1799999954605132e-08,6.830591206608005e-05
-2.1599999951934846e-08,6.911423406563699e-05
-2.139999994926456e-08,7.436832706275709e-05
-2.1199999946594273e-08,5.901020907117527e-05
-2.0999999943923986e-08,6.305181906895996e-05
-2.07999999412537e-08,6.830591206608005e-05
-2.0599999938583414e-08,7.194336106408628e-05
-2.0399999935913127e-08,6.709342906674465e-05
-2.019999993324284e-08,6.345598006873843e-05
-1.9999999930572554e-08,5.5776921072947516e-05
-1.9799999927902268e-08,5.739356507206139e-05
-1.9599999925231982e-08,3.6781354083359474e-05
-1.9399999922561695e-08,4.243960808025804e-05
-1.919999991989141e-08,3.071893908668244e-05
-1.8999999917221123e-08,2.9506456087347033e-05
-1.8799999914550836e-08,3.031477808690397e-05
-1.859999991188055e-08,2.5060685089783874e-05
-1.8399999909210263e-08,1.091505009753746e-05
-1.8199999906539977e-08,1.6573304094436025e-05
-1.799999990386969e-08,1.536082109510062e-05
-1.7799999901199404e-08,1.899827009310684e-05
-1.7599999898529118e-08,1.2531694096651336e-05
-1.739999989585883e-08,6.065118100195832e-06
-1.7199999893188545e-08,1.6193471026326733e-06
-1.699999989051826e-08,1.091505009753746e-05
-1.6799999887847972e-08,8.894245098645115e-06
-1.6599999885177686e-08,1.455249909554368e-05
-1.63999998825074e-08,8.490084098866646e-06
-1.6199999879837113e-08,5.256796100638894e-06
-1.5999999877166827e-08,-2.8264238949304854e-06
-1.579999987449654e-08,3.6401521015250182e-06
-1.5599999871826254e-08,8.490084098866646e-06
-1.5399999869155967e-08,1.3744177095986743e-05
-1.519999986648568e-08,1.81899480935499e-05
-1.4999999863815395e-08,1.4148338095765212e-05
-1.4799999861145108e-08,1.1723372097094398e-05
-1.4599999858474822e-08,1.6573304094436025e-05
-1.4399999855804535e-08,3.6401521015250182e-06
-1.4199999853134249e-08,8.085923099088177e-06
-1.3999999850463963e-08,1.3340016096208274e-05
-1.3799999847793676e-08,1.6573304094436025e-05
-1.359999984512339e-08,-3.2305848947089544e-06
-1.3399999842453104e-08,-2.4222628951520164e-06
-1.3199999839782817e-08,-2.020534688540465e-05
-1.299999983711253e-08,-1.9397024885847713e-05
-1.2799999834442244e-08,-2.2630312884075465e-05
-1.2599999831771958e-08,-3.0713532879644845e-05
-1.2399999829101672e-08,-4.162587987366351e-05
-1.2199999826431385e-08,-3.0309371879866376e-05
-1.1999999823761099e-08,-2.465111788296781e-05
-1.1799999821090812e-08,-1.0101321890942927e-05
-1.1599999818420526e-08,-1.8588702886290775e-05
-1.139999981575024e-08,-9.697160891164458e-06
-1.1199999813079953e-08,-6.868033892715175e-06
-1.0999999810409667e-08,-1.0101321890942927e-05
-1.079999980773938e-08,-6.059711893158237e-06
-1.0599999805069094e-08,4.044313101303487e-06
-1.0399999802398808e-08,1.3744177095986743e-05
-1.0199999799728521e-08,2.0210753092442246e-05
-9.999999797058235e-09,1.81899480935499e-05
-9.799999794387948e-09,2.9910617087125502e-05
-9.599999791717662e-09,1.495666009532215e-05
-9.399999789047376e-09,3.354806608513172e-05
-9.19999978637709e-09,2.303988009089153e-05
-8.999999783706803e-09,2.4252363090226936e-05
-8.799999781036517e-09,1.9806592092663777e-05
-8.59999977836623e-09,3.476054908446713e-05
-8.399999775695944e-09,3.152726108623938e-05
-8.199999773025657e-09,1.81899480935499e-05
-7.999999770355371e-09,7.277601099531239e-06
-7.799999767685085e-09,5.256796100638894e-06
-7.599999765014798e-09,8.894245098645115e-06
