保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-1.02e-08,4.648121807804273e-05
-9.999999997329714e-09,5.5776921072947516e-05
-9.799999994659428e-09,5.779772607183986e-05
-9.599999991989141e-09,7.194336106408628e-05
-9.399999989318855e-09,7.356000506320015e-05
-9.199999986648568e-09,7.598497106187097e-05
-8.999999983978282e-09,7.356000506320015e-05
-8.799999981307996e-09,8.083490305921259e-05
-8.59999997863771e-09,7.840993706054178e-05
-8.399999975967423e-09,7.55808100620925e-05
-8.199999973297136e-09,7.113503906452934e-05
-7.99999997062685e-09,6.183933606962455e-05
-7.799999967956564e-09,6.0222692070510675e-05
-7.599999965286277e-09,4.68853790778212e-05
-7.399999962615991e-09,4.8502023076935075e-05
-7.1999999599457045e-09,2.5869007089340812e-05
-6.999999957275418e-09,1.7381626093992963e-05
-6.799999954605132e-09,4.044313101303487e-06
-6.599999951934845e-09,6.469279099974301e-06
-6.399999949264559e-09,-4.0145789625967154e-07
-6.1999999465942725e-09,-8.484677891829051e-06
-5.999999943923986e-09,-5.655550893379768e-06
-5.7999999412537e-09,-8.056188960381405e-07
-5.599999938583413e-09,-8.484677891829051e-06
-5.399999935913127e-09,1.536082109510062e-05
-5.1999999332428405e-09,2.1827397091556122e-05
-4.999999930572554e-09,3.354806608513172e-05
-4.799999927902268e-09,3.031477808690397e-05
-4.599999925231981e-09,3.718551508313794e-05
-4.399999922561695e-09,2.9910617087125502e-05
-4.1999999198914086e-09,3.031477808690397e-05
-3.999999917221122e-09,2.708149008867622e-05
-3.799999914550836e-09,2.303988009089153e-05
-3.5999999118805494e-09,1.1319211097315929e-05
-3.399999909210263e-09,7.681762099309708e-06
-3.1999999065399766e-09,4.068641032972664e-07
-2.9999999038696902e-09,-9.697160891164458e-06
-2.799999901199404e-09,-1.616373688761996e-05
-2.5999998985291174e-09,-2.86927278807525e-05
-2.399999895858831e-09,-4.081755787410657e-05
-2.1999998931885447e-09,-6.749218385948552e-05
-1.9999998905182583e-09,-7.395875985594103e-05
-1.7999998878479719e-09,-0.00010184586884065538
-1.5999998851776855e-09,-0.00012609552882736352
-1.399999882507399e-09,-0.00011639566483268027
-1.1999998798371127e-09,-0.00012811633382625587
-9.999998771668263e-10,-0.0001406453248193884
-7.999998744965399e-10,-0.00013781619782093912
-5.999998718262535e-10,-0.0001406453248193884
-3.9999986915596714e-10,-0.00014387861281761616
-1.9999986648568075e-10,-0.00015438679881185635
1.361846056464255e-16,-0.00015964089180897645
2.0000013885489204e-10,-0.00015034518881407166
4.0000014152517843e-10,-0.00015155767181340707
6.000001441954648e-10,-0.00014226196881850228
8.000001468657512e-10,-0.0001317537828242621
1.0000001495360376e-09,-0.00012286224082913577
1.200000152206324e-09,-8.365862385062428e-05
1.4000001548766104e-09,-7.03213108579348e-05
1.6000001575468968e-09,-5.536735386613145e-05
1.8000001602171832e-09,-4.890077786967595e-05
2.0000001628874696e-09,-3.354265987809413e-05
2.200000165557756e-09,-2.9905210880087907e-05
2.4000001682280424e-09,-2.828856688097403e-05
2.6000001708983287e-09,-2.424695688318934e-05
2.800000173568615e-09,-3.192601587898025e-05
3.0000001762389015e-09,-3.920091387499269e-05
3.200000178909188e-09,-4.6879972870783604e-05
3.4000001815794743e-09,-5.577151486590992e-05
3.6000001842497607e-09,-6.223809086236542e-05
3.800000186920047e-09,-6.345057386170083e-05
4.0000001895903335e-09,-7.072547185771327e-05
4.20000019226062e-09,-6.26422518621439e-05
4.400000194930906e-09,-6.223809086236542e-05
4.600000197601193e-09,-6.38547348614793e-05
4.800000200271479e-09,-5.0113260869011356e-05
5.0000002029417654e-09,-6.991714985815634e-05
5.200000205612052e-09,-6.830050585904246e-05
5.400000208282338e-09,-7.55754038550549e-05
5.600000210952625e-09,-6.830050585904246e-05
5.800000213622911e-09,-6.223809086236542e-05
6.000000216293197e-09,-5.536735386613145e-05
6.200000218963484e-09,-5.7792319864802266e-05
6.40000022163377e-09,-3.5159303877208004e-05
6.6000002243040566e-09,-2.3034473883853934e-05
6.800000226974343e-09,-1.1313804890278334e-05
7.000000229644629e-09,-1.1717965890056803e-05
7.200000232314916e-09,1.4148338095765212e-05
7.400000234985202e-09,2.8698134087790095e-05
7.600000237655489e-09,1.455249909554368e-05
7.800000240325775e-09,1.899827009310684e-05
8.000000242996061e-09,3.071893908668244e-05
8.200000245666348e-09,2.1827397091556122e-05
8.400000248336634e-09,1.4148338095765212e-05
8.60000025100692e-09,1.859410909332837e-05
8.800000253677207e-09,-6.463872892936706e-06
9.000000256347493e-09,-8.484677891829051e-06
9.20000025901778e-09,-2.0181018953735474e-06
9.400000261688066e-09,8.085923099088177e-06
9.600000264358352e-09,-7.272194892493644e-06
9.800000267028639e-09,1.0106728097980522e-05
1.0000000269698925e-08,1.536082109510062e-05
