保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-1.02e-08,0.00016449623001335567
-9.999999997329714e-09,0.0001576254930171217
-9.799999994659428e-09,0.00014145905302598294
-9.599999991989141e-09,0.00013095086703174275
-9.399999989318855e-09,0.0001119553000421547
-9.199999986648568e-09,9.498053805145901e-05
-8.999999983978282e-09,5.2139472074941295e-05
-8.799999981307996e-09,1.536082109510062e-05
-8.59999997863771e-09,-1.737621988695537e-05
-8.399999975967423e-09,-1.4547092888506086e-05
-8.199999973297136e-09,-2.3842795883410872e-05
-7.99999997062685e-09,-3.758426987587882e-05
-7.799999967956564e-09,-6.91088278585994e-05
-7.599999965286277e-09,-0.0001236705628286927
-7.399999962615991e-09,-0.00017823229779878602
-7.1999999599457045e-09,-0.00020288611878527263
-6.999999957275418e-09,-0.00022349832977397455
-6.799999954605132e-09,-0.00019722786478837406
-6.599999951934845e-09,-0.0002085443727821712
-6.399999949264559e-09,-0.00024572718476179034
-6.1999999465942725e-09,-0.0002930140217358712
-5.999999943923986e-09,-0.0003112012667259023
-5.7999999412537e-09,-0.0003039263687298899
-5.599999938583413e-09,-0.0002853349627400803
-5.399999935913127e-09,-0.00026148946375315063
-5.1999999332428405e-09,-0.00024208973576378412
-4.999999930572554e-09,-0.00027401845474628317
-4.799999927902268e-09,-0.0002905890557372004
-4.599999925231981e-09,-0.00033706757071172433
-4.399999922561695e-09,-0.0003338342827134966
-4.1999999198914086e-09,-0.00034070501970973055
-3.999999917221122e-09,-0.0003374717317115028
-3.799999914550836e-09,-0.0003592964256995401
-3.5999999118805494e-09,-0.0003815252806873559
-3.399999909210263e-09,-0.00042679131266254444
-3.1999999065399766e-09,-0.00044093694765479086
-2.9999999038696902e-09,-0.00043608701565744923
-2.799999901199404e-09,-0.000386779373684476
-2.5999998985291174e-09,-0.0003532340107028631
-2.399999895858831e-09,-0.0003116054277256808
-2.1999998931885447e-09,-0.00031079710572612385
-1.9999998905182583e-09,-0.00029907643673254825
-1.7999998878479719e-09,-0.0002958431487343205
-1.5999998851776855e-09,-0.00023804812576599943
-1.399999882507399e-09,-0.00016731995080476736
-1.1999998798371127e-09,-0.00012043727483046496
-9.999998771668263e-10,-0.0001576200868100841
-7.999998744965399e-10,-0.00024330221876311953
-5.999998718262535e-10,-0.0003398966977101736
-3.9999986915596714e-10,-0.00041507064366896884
-1.9999986648568075e-10,-0.00041466648266919037
1.361846056464255e-16,-0.00033262179971416117
2.0000013885489204e-10,-0.00024006893076489177
4.0000014152517843e-10,-0.00017136156080255205
6.000001441954648e-10,-0.0001353912318222683
8.000001468657512e-10,-0.00012488304582802812
1.0000001495360376e-09,-0.00011760814783201567
1.200000152206324e-09,-3.596762587676494e-05
1.4000001548766104e-09,6.830591206608005e-05
1.6000001575468968e-09,0.00017257945000892505
1.8000001602171832e-09,0.00024290346397037865
2.0000001628874696e-09,0.0002817029199491117
2.200000165557756e-09,0.0002683656069564222
2.4000001682280424e-09,0.00024532842996904947
2.6000001708983287e-09,0.0002279495069785753
2.800000173568615e-09,0.0002614948699601882
3.0000001762389015e-09,0.0003128233169320538
3.200000178909188e-09,0.00036293928090458394
3.4000001815794743e-09,0.0003714266618999318
3.6000001842497607e-09,0.00032373566392607245
3.800000186920047e-09,0.00025866574296173894
4.0000001895903335e-09,0.00023118279497680305
4.20000019226062e-09,0.00022431205798056908
4.400000194930906e-09,0.00027159889495464995
4.600000197601193e-09,0.00028574452994689636
4.800000200271479e-09,0.0002865528519464533
5.0000002029417654e-09,0.00023279943897591693
5.200000205612052e-09,0.00015520052701845088
5.400000208282338e-09,7.315584406342168e-05
5.600000210952625e-09,4.243960808025804e-05
5.800000213622911e-09,3.112310008646091e-05
6.000000216293197e-09,5.86060480713968e-05
6.200000218963484e-09,8.487651305699728e-05
6.40000022163377e-09,9.619302105079441e-05
6.6000002243040566e-09,8.285570805810494e-05
6.800000226974343e-09,7.03267170649724e-05
7.000000229644629e-09,8.568483505655422e-05
7.200000232314916e-09,0.00012327180803595184
7.400000234985202e-09,0.00013256751103085662
7.600000237655489e-09,0.00012933422303262887
7.800000240325775e-09,0.0001418632140257614
8.000000242996061e-09,0.0001329716720306351
8.200000245666348e-09,0.00014873395102199538
8.400000248336634e-09,0.0001810668310042729
8.60000025100692e-09,0.00021339971098655042
8.800000253677207e-09,0.00024169098097104325
9.000000256347493e-09,0.00020935810098876573
9.20000025901778e-09,0.00017945018700515902
9.400000261688066e-09,0.00012731341803373653
9.600000264358352e-09,0.00012003852003772408
9.800000267028639e-09,0.0001159969100399394
1.0000000269698925e-08,9.295973305256666e-05
