保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-2.52e-08,0.0002841278859477825
-2.4999999997329714e-08,0.0002772571489515485
-2.4799999994659428e-08,0.0002699822509555361
-2.459999999198914e-08,0.000244924268969271
-2.4399999989318855e-08,0.00023886185397259396
-2.419999998664857e-08,0.00021824964298389204
-2.3999999983978282e-08,0.00021380387198632889
-2.3799999981307996e-08,0.00020167904199297482
-2.359999997863771e-08,0.0001717711280093681
-2.3399999975967423e-08,0.00015196723902022313
-2.3199999973297137e-08,0.00012569677403462265
-2.299999997062685e-08,0.00010589288504547767
-2.2799999967956564e-08,8.043074205943412e-05
-2.2599999965286278e-08,4.0014642081587226e-05
-2.239999996261599e-08,3.1931422086017847e-05
-2.2199999959945705e-08,8.490084098866646e-06
-2.199999995727542e-08,-1.2097798958166095e-06
-2.1799999954605132e-08,-1.0505482890721396e-05
-2.1599999951934846e-08,-1.8992863886069244e-05
-2.139999994926456e-08,-2.86927278807525e-05
-2.1199999946594273e-08,-3.596762587676494e-05
-2.0999999943923986e-08,-4.2838362872998914e-05
-2.07999999412537e-08,-5.0113260869011356e-05
-2.0599999938583414e-08,-5.3750709867017576e-05
-2.0399999935913127e-08,-6.668386185992858e-05
-2.019999993324284e-08,-6.749218385948552e-05
-1.9999999930572554e-08,-8.810439484818744e-05
-1.9799999927902268e-08,-0.00010709996183777548
-1.9599999925231982e-08,-0.00011194989383511711
-1.9399999922561695e-08,-0.00013134962182448362
-1.919999991989141e-08,-0.00014751606181562238
-1.8999999917221123e-08,-0.00016731995080476736
-1.8799999914550836e-08,-0.00018065726379745684
-1.859999991188055e-08,-0.00019965283078704488
-1.8399999909210263e-08,-0.00019520705978948172
-1.8199999906539977e-08,-0.00019965283078704488
-1.799999990386969e-08,-0.00020409860178460804
-1.7799999901199404e-08,-0.00021218182178017742
-1.7599999898529118e-08,-0.0002137984657792913
-1.739999989585883e-08,-0.00019884450878748794
-1.7199999893188545e-08,-0.00019359041579036784
-1.699999989051826e-08,-0.00021056517778106354
-1.6799999887847972e-08,-0.0001956112207892602
-1.6599999885177686e-08,-0.0001681282728043243
-1.63999998825074e-08,-0.00015721592581030563
-1.6199999879837113e-08,-0.0001382203588207176
-1.5999999877166827e-08,-0.0001159915038329018
-1.579999987449654e-08,-9.174184384619366e-05
-1.5599999871826254e-08,-6.142976886280849e-05
-1.5399999869155967e-08,-2.141782988474006e-05
-1.519999986648568e-08,1.2531694096651336e-05
-1.4999999863815395e-08,3.920632008203029e-05
-1.4799999861145108e-08,8.164322505876953e-05
-1.4599999858474822e-08,0.00010144711404791451
-1.4399999855804535e-08,0.00012286764703617337
-1.4199999853134249e-08,0.00016126294201512792
-1.3999999850463963e-08,0.0001798543480049375
-1.3799999847793676e-08,0.00018187515300382984
-1.359999984512339e-08,0.00020248736399253175
-1.3399999842453104e-08,0.00020410400799164563
-1.3199999839782817e-08,0.0002109747449878796
-1.299999983711253e-08,0.00022107876998234133
-1.2799999834442244e-08,0.00022875782897813224
-1.2599999831771958e-08,0.0002437117859699356
-1.2399999829101672e-08,0.00023037447297724611
-1.2199999826431385e-08,0.00023684104897370162
-1.1999999823761099e-08,0.0002473492349679418
-1.1799999821090812e-08,0.0002408826589714863
-1.1599999818420526e-08,0.0002477533959677203
-1.139999981575024e-08,0.00022754534597879683
-1.1199999813079953e-08,0.00022107876998234133
-1.0999999810409667e-08,0.00021339971098655042
-1.079999980773938e-08,0.00019723327099541166
-1.0599999805069094e-08,0.00021824964298389204
-1.0399999802398808e-08,0.00020248736399253175
-1.0199999799728521e-08,0.0001851084410020576
-9.999999797058235e-09,0.00017540857700737433
-9.799999794387948e-09,0.00015600884901800782
-9.599999791717662e-09,0.00014226737502553988
-9.399999789047376e-09,0.00012610093503440112
-9.19999978637709e-09,0.00011518858804038246
-8.999999783706803e-09,0.00010468040204614226
-8.799999781036517e-09,7.55808100620925e-05
-8.59999977836623e-09,4.8502023076935075e-05
-8.399999775695944e-09,6.87344009975277e-06
-8.199999773025657e-09,-2.6671922881860155e-05
-7.999999770355371e-09,-8.244614085128887e-05
-7.799999767685085e-09,-0.0001107374108357817
-7.599999765014798e-09,-0.0001511535108136286
-7.399999762344512e-09,-0.0001939945767901463
-7.199999759674225e-09,-0.00024006893076489177
-6.999999757003939e-09,-0.00028978073373764346
-6.799999754333653e-09,-0.0003580839427002047
-6.599999751663366e-09,-0.0003714212556928942
-6.39999974899308e-09,-0.00042517466866343057
-6.1999997463227934e-09,-0.0004635699636423851
-5.999999743652507e-09,-0.0005084318346177952
-5.799999740982221e-09,-0.000542785519598965
-5.599999738311934e-09,-0.0005876473905743751
-5.399999735641648e-09,-0.000614322016559754
-5.1999997329713615e-09,-0.0006547381165376009
-4.999999730301075e-09,-0.0006765628105256383
-4.799999727630789e-09,-0.0006979833435138971
-4.599999724960502e-09,-0.0007303162234961746
-4.399999722290216e-09,-0.0007436535364888641
-4.1999997196199295e-09,-0.0007743697724720278
-3.999999716949643e-09,-0.000790132051463388
-3.799999714279357e-09,-0.000784069636466711
-3.5999997116090703e-09,-0.0007565866884817751
-3.399999708938784e-09,-0.0007877070854647172
-3.1999997062684975e-09,-0.0007937695004613943
-2.999999703598211e-09,-0.0008240815754447794
-2.7999997009279248e-09,-0.0008507562014301584
-2.5999996982576384e-09,-0.0008632851924232909
-2.399999695587352e-09,-0.0008341856004392412
-2.1999996929170656e-09,-0.0007994277544582928
-1.999999690246779e-09,-0.0007820488314678187
-1.7999996875764928e-09,-0.0007759864164711416
-1.5999996849062064e-09,-0.0007687115184751292
-1.39999968223592e-09,-0.0007691156794749077
-1.1999996795656336e-09,-0.0007424410534895287
-9.999996768953472e-10,-0.0006842418695214292
-7.999996742250608e-10,-0.0006098762455621909
-5.999996715547744e-10,-0.0005617810865885531
-3.9999966888448805e-10,-0.0004987319706231119
-1.9999966621420166e-10,-0.0004680157346399483
3.3645608473285843e-16,-0.0004247705076636521
2.0000033912637112e-10,-0.0003879918566838114
4.000003417966575e-10,-0.00030433052972966834
6.000003444669439e-10,-0.0002396647697651133
8.000003471372303e-10,-0.0001798489417978999
1.0000003498075167e-09,-0.00011679982583245874
1.200000352477803e-09,-6.991714985815634e-05
1.4000003551480895e-09,-2.424695688318934e-05
1.6000003578183759e-09,2.4656524090005405e-05
1.8000003604886623e-09,7.962242005987719e-05
2.0000003631589487e-09,0.00011559274904016092
2.200000365829235e-09,0.0001471173070228815
2.4000003684995214e-09,0.00018955421199962075
2.600000371169808e-09,0.00020208320299275329
2.8000003738400942e-09,0.00022754534597879683
3.0000003765103806e-09,0.00023360776097547387
3.200000379180667e-09,0.0002590699039615174
3.4000003818509534e-09,0.000264728157958416
3.6000003845212398e-09,0.0002812987589493332
3.800000387191526e-09,0.00033788129891831886
4.0000003898618126e-09,0.00035121861191100834
4.200000392532099e-09,0.00035728102690768537
4.400000395202385e-09,0.00037465994989815954
4.600000397872672e-09,0.0003989096098848677
4.800000400542958e-09,0.0004170968548748988
5.0000004032132445e-09,0.0004073969908802155
5.200000405883531e-09,0.00041386356687667103
5.400000408553817e-09,0.0004247759138706897
5.600000411224104e-09,0.00043730490486382223
