保存した波形 C3
 1 列目は時間,2 列目は信号値
 
-5.019999999999999e-08,-0.0002538104047573597
-4.9999999997329707e-08,-0.00024330221876311953
-4.979999999465942e-08,-0.00023562315976732862
-4.9599999991989134e-08,-0.0002319857107693224
-4.939999998931885e-08,-0.00021541510977840517
-4.919999998664856e-08,-0.00020167363578593722
-4.8999999983978275e-08,-0.00018308222979612765
-4.879999998130799e-08,-0.00016327834080698267
-4.85999999786377e-08,-0.000139432841820053
-4.8399999975967415e-08,-0.00013094546082470515
-4.819999997329713e-08,-9.618761484375682e-05
-4.799999997062684e-08,-5.253822686768217e-05
-4.7799999967956556e-08,-3.3946820877872597e-05
-4.759999996528627e-08,-1.1717965890056803e-05
-4.7399999962615983e-08,9.298406098423584e-06
-4.71999999599457e-08,3.6781354083359474e-05
-4.699999995727541e-08,5.6585243072504454e-05
-4.6799999954605124e-08,8.285570805810494e-05
-4.659999995193484e-08,9.619302105079441e-05
-4.639999994926455e-08,0.00011276362204171164
-4.6199999946594265e-08,0.00013903408702731213
-4.599999994392398e-08,0.00015560468801822935
-4.579999994125369e-08,0.00014913811202177385
-4.5599999938583406e-08,0.0001483297900222169
-4.539999993591312e-08,0.00015439220501889395
-4.519999993324283e-08,0.00017136696700958964
-4.499999993057255e-08,0.0001616671030149064
-4.479999992790226e-08,0.00016975032301047577
-4.4599999925231974e-08,0.00015479636601867242
-4.439999992256169e-08,0.00015802965401690017
-4.41999999198914e-08,0.00012852590103307193
-4.3999999917221115e-08,0.00012933422303262887
-4.379999991455083e-08,9.659718205057288e-05
-4.359999991188054e-08,9.215141105300972e-05
-4.3399999909210256e-08,6.466846306807383e-05
-4.319999990653997e-08,4.931034507649201e-05
-4.299999990386968e-08,1.3744177095986743e-05
-4.2799999901199396e-08,1.6573304094436025e-05
-4.259999989852911e-08,-1.2122126889835272e-05
-4.2399999895858824e-08,-1.293044888939221e-05
-4.219999989318854e-08,-4.324252387277738e-05
-4.199999989051825e-08,-3.677594787632188e-05
-4.1799999887847964e-08,-4.849661686989748e-05
-4.159999988517768e-08,-6.708802285970705e-05
-4.139999988250739e-08,-6.304641286192236e-05
-4.1199999879837105e-08,-6.345057386170083e-05
-4.099999987716682e-08,-8.527526784973816e-05
-4.079999987449653e-08,-0.00011114157183556017
-4.0599999871826246e-08,-0.00013337042682337596
-4.039999986915596e-08,-0.00013741203682116065
-4.0199999866485673e-08,-0.00014549525681673003
-3.999999986381539e-08,-0.00015479095981163482
-3.97999998611451e-08,-0.00015438679881185635
-3.9599999858474814e-08,-0.0001758073318001152
-3.939999985580453e-08,-0.00016449082380631808
-3.919999985313424e-08,-0.00015074934981385013
-3.8999999850463955e-08,-0.00014549525681673003
-3.879999984779367e-08,-0.0001434744518178377
-3.859999984512338e-08,-0.00013134962182448362
-3.8399999842453096e-08,-0.00011962895283090802
-3.819999983978281e-08,-0.00010305835183999079
-3.799999983711252e-08,-7.880869185328265e-05
-3.7799999834442237e-08,-8.042533585239653e-05
-3.759999983177195e-08,-4.930493886945442e-05
-3.7399999829101664e-08,-2.5459439882524748e-05
-3.719999982643138e-08,2.4276691021896113e-06
